	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
Number of genes	18093	16116	17189
Number of genes in orthogroups	13373	13563	13206
Number of unassigned genes	4720	2553	3983
Percentage of genes in orthogroups	73.9	84.2	76.8
Percentage of unassigned genes	26.1	15.8	23.2
Number of orthogroups containing species	11081	10851	11058
Percentage of orthogroups containing species	93.3	91.3	93.1
Number of species-specific orthogroups	123	126	117
Number of genes in species-specific orthogroups	493	602	512
Percentage of genes in species-specific orthogroups	2.7	3.7	3.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	802	1032	825
'1	10008	9854	10068
'2	670	610	639
'3	189	150	156
'4	78	69	69
'5	48	47	38
'6	23	23	25
'7	12	18	10
'8	11	17	10
'9	7	5	12
'10	6	4	3
11-15	16	27	12
16-20	7	15	9
21-50	6	10	7
51-100	0	2	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	6.7	8.7	6.9
'1	84.2	82.9	84.7
'2	5.6	5.1	5.4
'3	1.6	1.3	1.3
'4	0.7	0.6	0.6
'5	0.4	0.4	0.3
'6	0.2	0.2	0.2
'7	0.1	0.2	0.1
'8	0.1	0.1	0.1
'9	0.1	0.0	0.1
'10	0.1	0.0	0.0
11-15	0.1	0.2	0.1
16-20	0.1	0.1	0.1
21-50	0.1	0.1	0.1
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	10008	9854	10068
'2	1340	1220	1278
'3	567	450	468
'4	312	276	276
'5	240	235	190
'6	138	138	150
'7	84	126	70
'8	88	136	80
'9	63	45	108
'10	60	40	30
11-15	194	342	153
16-20	119	262	156
21-50	160	318	179
51-100	0	121	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	55.3	61.1	58.6
'2	7.4	7.6	7.4
'3	3.1	2.8	2.7
'4	1.7	1.7	1.6
'5	1.3	1.5	1.1
'6	0.8	0.9	0.9
'7	0.5	0.8	0.4
'8	0.5	0.8	0.5
'9	0.3	0.3	0.6
'10	0.3	0.2	0.2
11-15	1.1	2.1	0.9
16-20	0.7	1.6	0.9
21-50	0.9	2.0	1.0
51-100	0.0	0.8	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
