Orthogroup	lhum_annotation	pbar_annotation
OG0000000	LHUM_10605-RA, LHUM_18453-RA, LHUM_10338-RA, LHUM_10439-RA, LHUM_10474-RA, LHUM_25204-RA	PBAR_17840-RA
OG0000000	LHUM_19134-RA, LHUM_10289-RA, LHUM_12441-RA, LHUM_15895-RA, LHUM_11597-RA, LHUM_12748-RA, LHUM_12566-RA, LHUM_12949-RA, LHUM_11630-RA, LHUM_11239-RA, LHUM_11842-RA, LHUM_15678-RA, LHUM_19942-RA, LHUM_22550-RA, LHUM_12474-RA, LHUM_13234-RA, LHUM_17699-RA, LHUM_19127-RA, LHUM_16339-RA, LHUM_10004-RA, LHUM_10224-RA	PBAR_14709-RA
OG0000002	LHUM_10291-RA	PBAR_11394-RA
OG0000002	LHUM_10425-RA, LHUM_19321-RA, LHUM_15689-RA, LHUM_10421-RA, LHUM_15792-RA, LHUM_16344-RA, LHUM_10507-RA, LHUM_14808-RA, LHUM_14681-RA, LHUM_13884-RA, LHUM_10285-RA, LHUM_19990-RA, LHUM_10283-RA, LHUM_13907-RA, LHUM_19137-RA, LHUM_13912-RA, LHUM_24069-RA, LHUM_13954-RA, LHUM_14788-RA, LHUM_13936-RA, LHUM_13939-RA, LHUM_11808-RA, LHUM_11610-RA, LHUM_14804-RA, LHUM_13437-RA, LHUM_15679-RA, LHUM_19897-RA, LHUM_23832-RA, LHUM_10520-RA, LHUM_10755-RA, LHUM_10472-RA, LHUM_13943-RA, LHUM_10325-RA, LHUM_22546-RA, LHUM_10594-RA, LHUM_25263-RA, LHUM_14696-RA, LHUM_10293-RA, LHUM_13951-RA, LHUM_14680-RA, LHUM_13468-RA, LHUM_10145-RA, LHUM_11347-RA, LHUM_10598-RA, LHUM_10322-RA, LHUM_10530-RA, LHUM_11537-RA, LHUM_11567-RA	PBAR_11397-RA
OG0000003	LHUM_10279-RA, LHUM_23989-RA, LHUM_14434-RA	PBAR_15144-RA
OG0000003	LHUM_12742-RA	PBAR_13224-RA
OG0000003	LHUM_20684-RA	PBAR_14727-RA
OG0000003	LHUM_12618-RA	PBAR_14566-RA
OG0000003	LHUM_14432-RA, LHUM_25271-RA, LHUM_11885-RA, LHUM_10716-RA, LHUM_14485-RA, LHUM_10664-RA	PBAR_15143-RA
OG0000003	LHUM_10033-RA, LHUM_20970-RA, LHUM_15375-RA, LHUM_11525-RA, LHUM_10667-RA, LHUM_10012-RA, LHUM_13367-RA, LHUM_12282-RA, LHUM_10084-RA, LHUM_10171-RA, LHUM_15677-RA, LHUM_23988-RA, LHUM_13313-RA, LHUM_18626-RA, LHUM_15994-RA, LHUM_10590-RA, LHUM_18625-RA, LHUM_15096-RA, LHUM_14405-RA	PBAR_10474-RA
OG0000004	LHUM_10644-RA	PBAR_16471-RA
OG0000004	LHUM_11876-RA, LHUM_10331-RA, LHUM_10489-RA, LHUM_15667-RA, LHUM_10219-RA, LHUM_10460-RA, LHUM_10754-RA, LHUM_13389-RA, LHUM_15069-RA, LHUM_10642-RA, LHUM_19328-RA, LHUM_24632-RA, LHUM_11549-RA, LHUM_10231-RA, LHUM_10199-RA, LHUM_11603-RA, LHUM_13358-RA, LHUM_22695-RA, LHUM_11598-RA, LHUM_10214-RA, LHUM_10532-RA, LHUM_18418-RA, LHUM_25443-RA, LHUM_10518-RA, LHUM_10654-RA, LHUM_25173-RA, LHUM_13391-RA	PBAR_16987-RA
OG0000004	LHUM_14817-RA	PBAR_10451-RA
OG0000005	LHUM_25976-RA	PBAR_11550-RA
OG0000005	LHUM_22492-RA	PBAR_11556-RA
OG0000006	LHUM_14670-RA, LHUM_14693-RA, LHUM_11875-RA, LHUM_24294-RA, LHUM_10115-RA, LHUM_16778-RA, LHUM_10461-RA, LHUM_22776-RA, LHUM_13392-RA, LHUM_24063-RA, LHUM_10655-RA, LHUM_10216-RA, LHUM_10380-RA, LHUM_10503-RA, LHUM_22781-RA, LHUM_18965-RA, LHUM_10220-RA, LHUM_15671-RA, LHUM_10488-RA, LHUM_10330-RA, LHUM_11873-RA, LHUM_10528-RA, LHUM_10232-RA, LHUM_19340-RA, LHUM_24627-RA, LHUM_24628-RA, LHUM_10856-RA, LHUM_11604-RA, LHUM_15068-RA, LHUM_10757-RA, LHUM_19724-RA, LHUM_14684-RA, LHUM_13869-RA, LHUM_14820-RA, LHUM_24302-RA, LHUM_24311-RA, LHUM_10475-RA	PBAR_13139-RA
OG0000007	LHUM_19102-RA	PBAR_14953-RA, PBAR_13126-RA, PBAR_21737-RA, PBAR_10397-RA, PBAR_13525-RA, PBAR_21975-RA, PBAR_16470-RA, PBAR_16468-RA, PBAR_14719-RA, PBAR_10746-RA, PBAR_21735-RA, PBAR_16474-RA, PBAR_16475-RA, PBAR_12159-RA, PBAR_14954-RA, PBAR_14720-RA, PBAR_10748-RA, PBAR_11178-RA, PBAR_21997-RA, PBAR_13125-RA, PBAR_10747-RA, PBAR_14717-RA, PBAR_26949-RA, PBAR_13501-RA, PBAR_10906-RA, PBAR_10750-RA, PBAR_21730-RA, PBAR_12814-RA, PBAR_12240-RA, PBAR_11654-RA, PBAR_20747-RA, PBAR_21716-RA, PBAR_12801-RA, PBAR_10514-RA, PBAR_12242-RA, PBAR_12815-RA, PBAR_13500-RA, PBAR_15425-RA
OG0000008	LHUM_22712-RA, LHUM_20013-RA, LHUM_10707-RA, LHUM_13394-RA, LHUM_10257-RA, LHUM_13868-RA, LHUM_25231-RA, LHUM_11848-RA, LHUM_10147-RA, LHUM_10418-RA, LHUM_13364-RA, LHUM_22762-RA, LHUM_10508-RA, LHUM_20605-RA, LHUM_10843-RA, LHUM_15067-RA, LHUM_10496-RA, LHUM_10731-RA, LHUM_10065-RA, LHUM_14695-RA, LHUM_23914-RA, LHUM_11576-RA, LHUM_11138-RA, LHUM_13871-RA, LHUM_10249-RA, LHUM_14375-RA, LHUM_10239-RA, LHUM_10735-RA, LHUM_10709-RA, LHUM_23196-RA, LHUM_14940-RA, LHUM_23744-RA, LHUM_10355-RA, LHUM_15436-RA, LHUM_15623-RA, LHUM_15171-RA	PBAR_17797-RA
OG0000009	LHUM_25509-RA, LHUM_25196-RA, LHUM_10086-RA, LHUM_15078-RA, LHUM_15427-RA, LHUM_16498-RA, LHUM_14717-RA, LHUM_13402-RA, LHUM_25197-RA, LHUM_10177-RA, LHUM_11869-RA, LHUM_10286-RA, LHUM_13194-RA, LHUM_22483-RA, LHUM_10414-RA, LHUM_10370-RA, LHUM_10742-RA	PBAR_23729-RA
OG0000009	LHUM_15167-RA, LHUM_22779-RA, LHUM_13184-RA, LHUM_25199-RA, LHUM_10176-RA, LHUM_13329-RA	PBAR_18641-RA
OG0000010	LHUM_25812-RA	PBAR_13497-RA
OG0000010	LHUM_25201-RA, LHUM_25275-RA	PBAR_18385-RA
OG0000010	LHUM_23200-RA, LHUM_10442-RA, LHUM_14397-RA, LHUM_22760-RA	PBAR_11078-RA
