Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins
OG0000000	ACEP_ACEP_00005936-RA	LHUM_LH18424-RA, LHUM_LH13318-RA
OG0000000	ACEP_ACEP_00001745-RA, ACEP_ACEP_00000986-RA	LHUM_LH15099-RA, LHUM_LH14437-RA, LHUM_LH13319-RA, LHUM_LH14407-RA, LHUM_LH11526-RA, LHUM_LH10714-RA, LHUM_LH10486-RA, LHUM_LH21825-RA, LHUM_LH14410-RA, LHUM_LH14914-RA, LHUM_LH14703-RA, LHUM_LH12805-RA, LHUM_LH12442-RA, LHUM_LH10238-RA, LHUM_LH13199-RA, LHUM_LH15173-RA
OG0000000	ACEP_ACEP_00014878-RA	LHUM_LH10658-RA
OG0000000	ACEP_ACEP_00013267-RA	LHUM_LH14408-RA, LHUM_LH25203-RA
OG0000000	ACEP_ACEP_00014461-RA	LHUM_LH10006-RA, LHUM_LH15172-RA, LHUM_LH15082-RA, LHUM_LH15098-RA, LHUM_LH13209-RA, LHUM_LH23017-RA, LHUM_LH15051-RA, LHUM_LH14481-RA, LHUM_LH24890-RA, LHUM_LH15620-RA, LHUM_LH14421-RA, LHUM_LH11515-RA, LHUM_LH14791-RA
OG0000001	ACEP_ACEP_00010080-RA	LHUM_LH13354-RA, LHUM_LH25236-RA
OG0000001	ACEP_ACEP_00010461-RA	LHUM_LH15170-RA, LHUM_LH25260-RA, LHUM_LH15174-RA, LHUM_LH23232-RA, LHUM_LH23902-RA, LHUM_LH15435-RA, LHUM_LH23983-RA, LHUM_LH25212-RA, LHUM_LH19312-RA, LHUM_LH25185-RB, LHUM_LH25185-RA, LHUM_LH14799-RA, LHUM_LH14978-RA, LHUM_LH11350-RA, LHUM_LH19141-RA, LHUM_LH13930-RA, LHUM_LH25210-RA, LHUM_LH14477-RA, LHUM_LH10733-RA, LHUM_LH13239-RA, LHUM_LH11355-RA, LHUM_LH19139-RA, LHUM_LH10366-RA, LHUM_LH19918-RA, LHUM_LH13928-RA, LHUM_LH15120-RA, LHUM_LH10372-RA, LHUM_LH25218-RA, LHUM_LH25217-RA, LHUM_LH14801-RA, LHUM_LH10010-RA, LHUM_LH13353-RA, LHUM_LH20806-RA, LHUM_LH17152-RA, LHUM_LH20807-RA, LHUM_LH10014-RA, LHUM_LH17149-RA, LHUM_LH17574-RA, LHUM_LH11813-RA, LHUM_LH17572-RA, LHUM_LH12605-RA, LHUM_LH11624-RA, LHUM_LH25225-RA, LHUM_LH23233-RA, LHUM_LH23900-RA, LHUM_LH10228-RA, LHUM_LH15433-RA, LHUM_LH24070-RA, LHUM_LH23981-RA, LHUM_LH18693-RA, LHUM_LH23653-RA, LHUM_LH14435-RA, LHUM_LH11577-RA, LHUM_LH25205-RA, LHUM_LH25259-RA, LHUM_LH25208-RA, LHUM_LH25209-RA, LHUM_LH19313-RA
OG0000003	ACEP_ACEP_00010077-RA	LHUM_LH23989-RA, LHUM_LH10279-RA, LHUM_LH14434-RA
OG0000003	ACEP_ACEP_00011763-RA	LHUM_LH18626-RA, LHUM_LH15994-RA, LHUM_LH10590-RA, LHUM_LH18625-RA, LHUM_LH15096-RA, LHUM_LH14405-RA
OG0000003	ACEP_ACEP_00015355-RA	LHUM_LH10033-RA, LHUM_LH20970-RA, LHUM_LH10667-RA, LHUM_LH15375-RA, LHUM_LH11525-RA, LHUM_LH10012-RA, LHUM_LH13367-RA, LHUM_LH12282-RA, LHUM_LH10084-RA, LHUM_LH15677-RA, LHUM_LH10171-RA, LHUM_LH13313-RA, LHUM_LH23988-RA
OG0000003	ACEP_ACEP_00011661-RA	LHUM_LH11606-RA
OG0000003	ACEP_ACEP_00016469-RA	LHUM_LH20684-RA
OG0000003	ACEP_ACEP_00011820-RA	LHUM_LH12742-RA
OG0000004	ACEP_ACEP_00012041-RA	LHUM_LH24308-RA, LHUM_LH24295-RA, LHUM_LH10073-RA, LHUM_LH22777-RA, LHUM_LH10083-RA, LHUM_LH14429-RA, LHUM_LH14671-RA, LHUM_LH24296-RA, LHUM_LH13867-RA, LHUM_LH14683-RA
OG0000005	ACEP_ACEP_00017165-RA, ACEP_ACEP_00017166-RA	LHUM_LH22492-RA
OG0000005	ACEP_ACEP_00017160-RA, ACEP_ACEP_00017162-RA, ACEP_ACEP_00017161-RA, ACEP_ACEP_00017164-RA, ACEP_ACEP_00003030-RA, ACEP_ACEP_00003029-RA, ACEP_ACEP_04565968-RA, ACEP_ACEP_00017147-RA, ACEP_ACEP_00017148-RA, ACEP_ACEP_00003036-RA, ACEP_ACEP_00017150-RA, ACEP_ACEP_00003037-RA, ACEP_ACEP_00017149-RA, ACEP_ACEP_00017145-RA, ACEP_ACEP_00017146-RA, ACEP_ACEP_00016823-RA, ACEP_ACEP_04565945-RA, ACEP_ACEP_00017153-RA, ACEP_ACEP_00017156-RA, ACEP_ACEP_00017155-RA, ACEP_ACEP_00017158-RA, ACEP_ACEP_00017159-RA, ACEP_ACEP_00017154-RA, ACEP_ACEP_00017157-RA, ACEP_ACEP_04565827-RA, ACEP_ACEP_04565848-RA, ACEP_ACEP_00003027-RA	LHUM_LH25976-RA
OG0000006	ACEP_ACEP_00012657-RA, ACEP_ACEP_00012042-RA	LHUM_LH14670-RA, LHUM_LH14693-RA, LHUM_LH11875-RA, LHUM_LH24294-RA, LHUM_LH16778-RA, LHUM_LH10115-RA, LHUM_LH15068-RA, LHUM_LH10757-RA, LHUM_LH19724-RA, LHUM_LH10856-RA, LHUM_LH24627-RA, LHUM_LH24628-RA, LHUM_LH19340-RA, LHUM_LH10232-RA, LHUM_LH11604-RA, LHUM_LH10461-RA, LHUM_LH13392-RA, LHUM_LH22776-RA, LHUM_LH10216-RA, LHUM_LH10655-RA, LHUM_LH24063-RA, LHUM_LH22781-RA, LHUM_LH10380-RA, LHUM_LH10503-RA, LHUM_LH18965-RA, LHUM_LH10528-RA, LHUM_LH11873-RA, LHUM_LH15671-RA, LHUM_LH10488-RA, LHUM_LH10330-RA, LHUM_LH10220-RA, LHUM_LH14684-RA, LHUM_LH13869-RA, LHUM_LH14820-RA, LHUM_LH24302-RA, LHUM_LH24311-RA, LHUM_LH10475-RA
OG0000008	ACEP_ACEP_00005311-RA	LHUM_LH10709-RA, LHUM_LH10735-RA, LHUM_LH10239-RA, LHUM_LH14375-RA, LHUM_LH10249-RA, LHUM_LH10147-RA, LHUM_LH11848-RA, LHUM_LH10418-RA, LHUM_LH10707-RA, LHUM_LH22712-RA, LHUM_LH20013-RA, LHUM_LH10257-RA, LHUM_LH13868-RA, LHUM_LH13394-RA, LHUM_LH25231-RA, LHUM_LH13364-RA, LHUM_LH22762-RA, LHUM_LH10508-RA, LHUM_LH23914-RA, LHUM_LH14695-RA, LHUM_LH15067-RA, LHUM_LH10843-RA, LHUM_LH20605-RA, LHUM_LH10731-RA, LHUM_LH10496-RA, LHUM_LH10065-RA, LHUM_LH13871-RA, LHUM_LH11138-RA, LHUM_LH11576-RA, LHUM_LH14940-RA, LHUM_LH23744-RA, LHUM_LH10355-RA, LHUM_LH15436-RA, LHUM_LH15623-RA, LHUM_LH15171-RA, LHUM_LH23196-RA
OG0000009	ACEP_ACEP_00003497-RA	LHUM_LH25509-RA, LHUM_LH25196-RA, LHUM_LH25197-RA, LHUM_LH13402-RA, LHUM_LH15427-RA, LHUM_LH14717-RA, LHUM_LH16498-RA, LHUM_LH15078-RA, LHUM_LH10086-RA, LHUM_LH10177-RA, LHUM_LH10286-RA, LHUM_LH11869-RA, LHUM_LH13194-RA, LHUM_LH22483-RA, LHUM_LH10370-RA, LHUM_LH10414-RA, LHUM_LH10742-RA
OG0000009	ACEP_ACEP_00015354-RA	LHUM_LH15167-RA, LHUM_LH22779-RA, LHUM_LH25199-RA, LHUM_LH10176-RA, LHUM_LH13184-RA, LHUM_LH13329-RA
OG0000010	ACEP_ACEP_00004998-RA, ACEP_ACEP_00004994-RA	LHUM_LH25812-RA
OG0000010	ACEP_ACEP_00012415-RA	LHUM_LH23740-RA, LHUM_LH10028-RA, LHUM_LH11518-RA, LHUM_LH13202-RA
OG0000010	ACEP_ACEP_00014249-RA	LHUM_LH12833-RA, LHUM_LH15168-RA, LHUM_LH15673-RA, LHUM_LH15074-RA, LHUM_LH19319-RA, LHUM_LH25195-RA
OG0000010	ACEP_ACEP_00003421-RA	LHUM_LH10062-RA
OG0000010	ACEP_ACEP_00003500-RA	LHUM_LH14452-RA, LHUM_LH13387-RA
OG0000010	ACEP_ACEP_00009755-RA, ACEP_ACEP_00001029-RA	LHUM_LH14827-RA
OG0000011	ACEP_ACEP_00009733-RA	LHUM_LH16721-RA
OG0000011	ACEP_ACEP_00009311-RA	LHUM_LH19727-RA, LHUM_LH23847-RA, LHUM_LH11317-RA, LHUM_LH22545-RA, LHUM_LH15100-RA, LHUM_LH15699-RA
OG0000012	ACEP_ACEP_00013939-RA, ACEP_ACEP_00017893-RA, ACEP_ACEP_00017891-RA, ACEP_ACEP_00017890-RA, ACEP_ACEP_00013934-RA, ACEP_ACEP_00017889-RA, ACEP_ACEP_00013931-RA, ACEP_ACEP_00013933-RA, ACEP_ACEP_00013932-RA, ACEP_ACEP_00016888-RA, ACEP_ACEP_00017892-RA, ACEP_ACEP_00013930-RA, ACEP_ACEP_00016568-RA, ACEP_ACEP_00013937-RA, ACEP_ACEP_00013938-RA, ACEP_ACEP_00017886-RA, ACEP_ACEP_00017885-RA, ACEP_ACEP_00017888-RA, ACEP_ACEP_00017887-RA, ACEP_ACEP_00013940-RA, ACEP_ACEP_00013936-RA, ACEP_ACEP_00016698-RA, ACEP_ACEP_00013935-RA, ACEP_ACEP_00002534-RA, ACEP_ACEP_00013941-RA, ACEP_ACEP_00016542-RA, ACEP_ACEP_00013929-RA, ACEP_ACEP_00011335-RA, ACEP_ACEP_00011334-RA	LHUM_LH25635-RA
OG0000013	ACEP_ACEP_00005884-RA, ACEP_ACEP_00003519-RA, ACEP_ACEP_00005028-RA, ACEP_ACEP_00005882-RA, ACEP_ACEP_00013392-RA	LHUM_LH10721-RA
OG0000015	ACEP_ACEP_00000585-RA	LHUM_LH18089-RA
OG0000015	ACEP_ACEP_00011212-RA	LHUM_LH17201-RA
OG0000015	ACEP_ACEP_00006043-RA	LHUM_LH16527-RA
OG0000015	ACEP_ACEP_00003337-RA	LHUM_LH21322-RA
OG0000015	ACEP_ACEP_00000592-RA	LHUM_LH18098-RA
OG0000015	ACEP_ACEP_00004912-RA	LHUM_LH24864-RA
OG0000015	ACEP_ACEP_00007913-RA	LHUM_LH22972-RA, LHUM_LH22973-RA, LHUM_LH22971-RA
OG0000015	ACEP_ACEP_00013383-RA	LHUM_LH15377-RA
OG0000015	ACEP_ACEP_00007915-RA	LHUM_LH22967-RA
OG0000015	ACEP_ACEP_00004355-RA	LHUM_LH22827-RA
OG0000015	ACEP_ACEP_00005351-RA	LHUM_LH11436-RA
OG0000015	ACEP_ACEP_00011420-RA	LHUM_LH22588-RA
