Orthogroup	acep_annotation	lhum_annotation	pbar_annotation
OG0000000	ACEP_00000986-RA, ACEP_00001745-RA, ACEP_00005936-RA, ACEP_00013267-RA, ACEP_00014461-RA, ACEP_00014878-RA	LHUM_10004-RA, LHUM_10006-RA, LHUM_10224-RA, LHUM_10238-RA, LHUM_10289-RA, LHUM_10338-RA, LHUM_10439-RA, LHUM_10474-RA, LHUM_10486-RA, LHUM_10605-RA, LHUM_10658-RA, LHUM_10714-RA, LHUM_11239-RA, LHUM_11515-RA, LHUM_11526-RA, LHUM_11597-RA, LHUM_11630-RA, LHUM_11842-RA, LHUM_12441-RA, LHUM_12442-RA, LHUM_12474-RA, LHUM_12566-RA, LHUM_12748-RA, LHUM_12805-RA, LHUM_12949-RA, LHUM_13199-RA, LHUM_13209-RA, LHUM_13234-RA, LHUM_13318-RA, LHUM_13319-RA, LHUM_14407-RA, LHUM_14408-RA, LHUM_14410-RA, LHUM_14421-RA, LHUM_14437-RA, LHUM_14481-RA, LHUM_14703-RA, LHUM_14791-RA, LHUM_14914-RA, LHUM_15051-RA, LHUM_15082-RA, LHUM_15098-RA, LHUM_15099-RA, LHUM_15172-RA, LHUM_15173-RA, LHUM_15620-RA, LHUM_15678-RA, LHUM_15895-RA, LHUM_16339-RA, LHUM_17699-RA, LHUM_18424-RA, LHUM_18453-RA, LHUM_19127-RA, LHUM_19134-RA, LHUM_19942-RA, LHUM_21825-RA, LHUM_22550-RA, LHUM_23017-RA, LHUM_24890-RA, LHUM_25203-RA, LHUM_25204-RA	PBAR_14709-RA, PBAR_17840-RA
OG0000001	ACEP_00010080-RA, ACEP_00010461-RA	LHUM_10010-RA, LHUM_10014-RA, LHUM_10228-RA, LHUM_10366-RA, LHUM_10372-RA, LHUM_10733-RA, LHUM_11350-RA, LHUM_11355-RA, LHUM_11577-RA, LHUM_11624-RA, LHUM_11813-RA, LHUM_12605-RA, LHUM_13239-RA, LHUM_13353-RA, LHUM_13354-RA, LHUM_13928-RA, LHUM_13930-RA, LHUM_14435-RA, LHUM_14477-RA, LHUM_14799-RA, LHUM_14801-RA, LHUM_14978-RA, LHUM_15120-RA, LHUM_15170-RA, LHUM_15174-RA, LHUM_15433-RA, LHUM_15435-RA, LHUM_17149-RA, LHUM_17152-RA, LHUM_17572-RA, LHUM_17574-RA, LHUM_18693-RA, LHUM_19139-RA, LHUM_19141-RA, LHUM_19312-RA, LHUM_19313-RA, LHUM_19918-RA, LHUM_20806-RA, LHUM_20807-RA, LHUM_23232-RA, LHUM_23233-RA, LHUM_23653-RA, LHUM_23900-RA, LHUM_23902-RA, LHUM_23981-RA, LHUM_23983-RA, LHUM_24070-RA, LHUM_25185-RA, LHUM_25185-RB, LHUM_25205-RA, LHUM_25208-RA, LHUM_25209-RA, LHUM_25210-RA, LHUM_25212-RA, LHUM_25217-RA, LHUM_25218-RA, LHUM_25225-RA, LHUM_25236-RA, LHUM_25259-RA, LHUM_25260-RA	
OG0000002		LHUM_10145-RA, LHUM_10283-RA, LHUM_10285-RA, LHUM_10291-RA, LHUM_10293-RA, LHUM_10322-RA, LHUM_10325-RA, LHUM_10421-RA, LHUM_10425-RA, LHUM_10472-RA, LHUM_10507-RA, LHUM_10520-RA, LHUM_10530-RA, LHUM_10594-RA, LHUM_10598-RA, LHUM_10755-RA, LHUM_11347-RA, LHUM_11537-RA, LHUM_11567-RA, LHUM_11610-RA, LHUM_11808-RA, LHUM_13437-RA, LHUM_13468-RA, LHUM_13884-RA, LHUM_13907-RA, LHUM_13912-RA, LHUM_13936-RA, LHUM_13939-RA, LHUM_13943-RA, LHUM_13951-RA, LHUM_13954-RA, LHUM_14680-RA, LHUM_14681-RA, LHUM_14696-RA, LHUM_14788-RA, LHUM_14804-RA, LHUM_14808-RA, LHUM_15679-RA, LHUM_15689-RA, LHUM_15792-RA, LHUM_16344-RA, LHUM_19137-RA, LHUM_19321-RA, LHUM_19897-RA, LHUM_19990-RA, LHUM_22546-RA, LHUM_23832-RA, LHUM_24069-RA, LHUM_25263-RA	PBAR_11394-RA, PBAR_11397-RA
OG0000003	ACEP_00010077-RA, ACEP_00011661-RA, ACEP_00011763-RA, ACEP_00011820-RA, ACEP_00011821-RA, ACEP_00015355-RA, ACEP_00016469-RA	LHUM_10012-RA, LHUM_10033-RA, LHUM_10084-RA, LHUM_10171-RA, LHUM_10279-RA, LHUM_10590-RA, LHUM_10664-RA, LHUM_10667-RA, LHUM_10716-RA, LHUM_11525-RA, LHUM_11606-RA, LHUM_11885-RA, LHUM_12282-RA, LHUM_12618-RA, LHUM_12742-RA, LHUM_13313-RA, LHUM_13367-RA, LHUM_14405-RA, LHUM_14432-RA, LHUM_14434-RA, LHUM_14485-RA, LHUM_15096-RA, LHUM_15375-RA, LHUM_15677-RA, LHUM_15994-RA, LHUM_18625-RA, LHUM_18626-RA, LHUM_20684-RA, LHUM_20970-RA, LHUM_23988-RA, LHUM_23989-RA, LHUM_25271-RA	PBAR_10474-RA, PBAR_13224-RA, PBAR_14566-RA, PBAR_14727-RA, PBAR_15143-RA, PBAR_15144-RA
OG0000004	ACEP_00012041-RA	LHUM_10073-RA, LHUM_10083-RA, LHUM_10199-RA, LHUM_10214-RA, LHUM_10219-RA, LHUM_10231-RA, LHUM_10331-RA, LHUM_10460-RA, LHUM_10489-RA, LHUM_10518-RA, LHUM_10532-RA, LHUM_10642-RA, LHUM_10644-RA, LHUM_10654-RA, LHUM_10754-RA, LHUM_11549-RA, LHUM_11598-RA, LHUM_11603-RA, LHUM_11876-RA, LHUM_13358-RA, LHUM_13389-RA, LHUM_13391-RA, LHUM_13867-RA, LHUM_14429-RA, LHUM_14671-RA, LHUM_14683-RA, LHUM_14817-RA, LHUM_15069-RA, LHUM_15667-RA, LHUM_18418-RA, LHUM_19328-RA, LHUM_22695-RA, LHUM_22777-RA, LHUM_24295-RA, LHUM_24296-RA, LHUM_24308-RA, LHUM_24632-RA, LHUM_25173-RA, LHUM_25443-RA	PBAR_10451-RA, PBAR_16471-RA, PBAR_16987-RA
OG0000005	ACEP_00003027-RA, ACEP_00003029-RA, ACEP_00003030-RA, ACEP_00003036-RA, ACEP_00003037-RA, ACEP_00016823-RA, ACEP_00017145-RA, ACEP_00017146-RA, ACEP_00017147-RA, ACEP_00017148-RA, ACEP_00017149-RA, ACEP_00017150-RA, ACEP_00017153-RA, ACEP_00017154-RA, ACEP_00017155-RA, ACEP_00017156-RA, ACEP_00017157-RA, ACEP_00017158-RA, ACEP_00017159-RA, ACEP_00017160-RA, ACEP_00017161-RA, ACEP_00017162-RA, ACEP_00017164-RA, ACEP_00017165-RA, ACEP_00017166-RA, ACEP_00017167-RA, ACEP_00017169-RA, ACEP_00017170-RA, ACEP_04565810-RA, ACEP_04565827-RA, ACEP_04565848-RA, ACEP_04565945-RA, ACEP_04565968-RA, ACEP_04566131-RA, ACEP_04566150-RA, AcOr-RA	LHUM_22492-RA, LHUM_25976-RA	PBAR_11550-RA, PBAR_11556-RA
OG0000006	ACEP_00012042-RA, ACEP_00012657-RA	LHUM_10115-RA, LHUM_10216-RA, LHUM_10220-RA, LHUM_10232-RA, LHUM_10330-RA, LHUM_10380-RA, LHUM_10461-RA, LHUM_10475-RA, LHUM_10488-RA, LHUM_10503-RA, LHUM_10528-RA, LHUM_10655-RA, LHUM_10757-RA, LHUM_10856-RA, LHUM_11604-RA, LHUM_11873-RA, LHUM_11875-RA, LHUM_13392-RA, LHUM_13869-RA, LHUM_14670-RA, LHUM_14684-RA, LHUM_14693-RA, LHUM_14820-RA, LHUM_15068-RA, LHUM_15671-RA, LHUM_16778-RA, LHUM_18965-RA, LHUM_19340-RA, LHUM_19724-RA, LHUM_22776-RA, LHUM_22781-RA, LHUM_24063-RA, LHUM_24294-RA, LHUM_24302-RA, LHUM_24311-RA, LHUM_24627-RA, LHUM_24628-RA	PBAR_13139-RA
OG0000007		LHUM_19102-RA	PBAR_10397-RA, PBAR_10514-RA, PBAR_10746-RA, PBAR_10747-RA, PBAR_10748-RA, PBAR_10750-RA, PBAR_10906-RA, PBAR_11178-RA, PBAR_11654-RA, PBAR_12159-RA, PBAR_12240-RA, PBAR_12242-RA, PBAR_12801-RA, PBAR_12814-RA, PBAR_12815-RA, PBAR_13125-RA, PBAR_13126-RA, PBAR_13500-RA, PBAR_13501-RA, PBAR_13525-RA, PBAR_14717-RA, PBAR_14719-RA, PBAR_14720-RA, PBAR_14953-RA, PBAR_14954-RA, PBAR_15425-RA, PBAR_16468-RA, PBAR_16470-RA, PBAR_16474-RA, PBAR_16475-RA, PBAR_20747-RA, PBAR_21716-RA, PBAR_21730-RA, PBAR_21735-RA, PBAR_21737-RA, PBAR_21975-RA, PBAR_21997-RA, PBAR_26949-RA
OG0000008	ACEP_00005311-RA	LHUM_10065-RA, LHUM_10147-RA, LHUM_10239-RA, LHUM_10249-RA, LHUM_10257-RA, LHUM_10355-RA, LHUM_10418-RA, LHUM_10496-RA, LHUM_10508-RA, LHUM_10707-RA, LHUM_10709-RA, LHUM_10731-RA, LHUM_10735-RA, LHUM_10843-RA, LHUM_11138-RA, LHUM_11576-RA, LHUM_11848-RA, LHUM_13364-RA, LHUM_13394-RA, LHUM_13868-RA, LHUM_13871-RA, LHUM_14375-RA, LHUM_14695-RA, LHUM_14940-RA, LHUM_15067-RA, LHUM_15171-RA, LHUM_15436-RA, LHUM_15623-RA, LHUM_20013-RA, LHUM_20605-RA, LHUM_22712-RA, LHUM_22762-RA, LHUM_23196-RA, LHUM_23744-RA, LHUM_23914-RA, LHUM_25231-RA	PBAR_17797-RA
OG0000009	ACEP_00003497-RA, ACEP_00015354-RA	LHUM_10039-RA, LHUM_10086-RA, LHUM_10176-RA, LHUM_10177-RA, LHUM_10286-RA, LHUM_10370-RA, LHUM_10414-RA, LHUM_10448-RA, LHUM_10742-RA, LHUM_11206-RA, LHUM_11357-RA, LHUM_11869-RA, LHUM_13184-RA, LHUM_13194-RA, LHUM_13328-RA, LHUM_13329-RA, LHUM_13402-RA, LHUM_13966-RA, LHUM_14717-RA, LHUM_15078-RA, LHUM_15097-RA, LHUM_15167-RA, LHUM_15376-RA, LHUM_15427-RA, LHUM_16497-RA, LHUM_16498-RA, LHUM_22483-RA, LHUM_22779-RA, LHUM_25196-RA, LHUM_25197-RA, LHUM_25199-RA, LHUM_25509-RA	PBAR_18641-RA, PBAR_23729-RA
OG0000010	ACEP_00001029-RA, ACEP_00003421-RA, ACEP_00003500-RA, ACEP_00004994-RA, ACEP_00004998-RA, ACEP_00009755-RA, ACEP_00012415-RA, ACEP_00014249-RA	LHUM_10028-RA, LHUM_10062-RA, LHUM_10442-RA, LHUM_11517-RA, LHUM_11518-RA, LHUM_12833-RA, LHUM_13202-RA, LHUM_13387-RA, LHUM_14397-RA, LHUM_14452-RA, LHUM_14827-RA, LHUM_15074-RA, LHUM_15168-RA, LHUM_15673-RA, LHUM_19319-RA, LHUM_22760-RA, LHUM_23200-RA, LHUM_23740-RA, LHUM_25195-RA, LHUM_25201-RA, LHUM_25275-RA, LHUM_25812-RA	PBAR_11078-RA, PBAR_13497-RA, PBAR_18385-RA, PBAR_18386-RA
OG0000011	ACEP_00009311-RA, ACEP_00009733-RA	LHUM_10021-RA, LHUM_10125-RA, LHUM_10409-RA, LHUM_11051-RA, LHUM_11174-RA, LHUM_11317-RA, LHUM_11335-RA, LHUM_11850-RA, LHUM_11884-RA, LHUM_12750-RA, LHUM_13330-RA, LHUM_13332-RA, LHUM_14376-RA, LHUM_14439-RA, LHUM_15100-RA, LHUM_15699-RA, LHUM_15824-RA, LHUM_16721-RA, LHUM_17571-RA, LHUM_19723-RA, LHUM_19727-RA, LHUM_19899-RA, LHUM_19997-RA, LHUM_20494-RA, LHUM_22545-RA, LHUM_23847-RA	PBAR_11305-RA, PBAR_17807-RA, PBAR_21450-RA
OG0000012	ACEP_00002534-RA, ACEP_00011334-RA, ACEP_00011335-RA, ACEP_00013929-RA, ACEP_00013930-RA, ACEP_00013931-RA, ACEP_00013932-RA, ACEP_00013933-RA, ACEP_00013934-RA, ACEP_00013935-RA, ACEP_00013936-RA, ACEP_00013937-RA, ACEP_00013938-RA, ACEP_00013939-RA, ACEP_00013940-RA, ACEP_00013941-RA, ACEP_00016542-RA, ACEP_00016568-RA, ACEP_00016698-RA, ACEP_00016888-RA, ACEP_00017885-RA, ACEP_00017886-RA, ACEP_00017887-RA, ACEP_00017888-RA, ACEP_00017889-RA, ACEP_00017890-RA, ACEP_00017891-RA, ACEP_00017892-RA, ACEP_00017893-RA	LHUM_25635-RA	
