Orthogroup	acep_annotation	lhum_annotation	pbar_annotation
OG0011883	ACEP_00015608-RA		
OG0011884	ACEP_00018179-RA		
OG0011885	ACEP_00018180-RA		
OG0011886	ACEP_00015590-RA		
OG0011887	ACEP_00016625-RA		
OG0011888	ACEP_00016624-RA		
OG0011889	ACEP_00016570-RA		
OG0011890	ACEP_00016452-RA		
OG0011891	ACEP_00018230-RA		
OG0011892	ACEP_00016859-RA		
OG0011893	ACEP_00016619-RA		
OG0011894	ACEP_00016831-RA		
OG0011895	ACEP_00016686-RA		
OG0011896	ACEP_00016882-RA		
OG0011897	ACEP_00016659-RA		
OG0011898	ACEP_00017969-RA		
OG0011899	ACEP_00012871-RA		
OG0011900	ACEP_00012872-RA		
OG0011901	ACEP_00012866-RA		
OG0011902	ACEP_00012857-RA		
OG0011903	ACEP_00017972-RA		
OG0011904	ACEP_00017970-RA		
OG0011905	ACEP_00012856-RA		
OG0011906	ACEP_00012852-RA		
OG0011907	ACEP_00017973-RA		
OG0011908	ACEP_00012853-RA		
OG0011909	ACEP_00012846-RA		
OG0011910	ACEP_00012849-RA		
OG0011911	ACEP_00012840-RA		
OG0011912	ACEP_00012838-RA		
OG0011913	ACEP_00017975-RA		
OG0011914	ACEP_00012841-RA		
OG0011915	ACEP_00012828-RA		
OG0011916	ACEP_00012820-RA		
OG0011917	ACEP_00012821-RA		
OG0011918	ACEP_00017976-RA		
OG0011919	ACEP_00012804-RA		
OG0011920	ACEP_00017978-RA		
OG0011921	ACEP_00012799-RA		
OG0011922	ACEP_00012789-RA		
OG0011923	ACEP_00012786-RA		
OG0011924	ACEP_00012783-RA		
OG0011925	ACEP_00012790-RA		
OG0011926	ACEP_00012781-RA		
OG0011927	ACEP_00012772-RA		
OG0011928	ACEP_00017979-RA		
OG0011929	ACEP_00012774-RA		
OG0011930	ACEP_00017980-RA		
OG0011931	ACEP_00016714-RA		
OG0011932	ACEP_00016675-RA		
OG0011933	ACEP_00016746-RA		
OG0011934	ACEP_00017230-RA		
OG0011935	ACEP_00017231-RA		
OG0011936	ACEP_00017232-RA		
OG0011937	ACEP_00006382-RA		
OG0011938	ACEP_00006381-RA		
OG0011939	ACEP_00017233-RA		
OG0011940	ACEP_00006368-RA		
OG0011941	ACEP_00006377-RA		
OG0011942	ACEP_00006360-RA		
OG0011943	ACEP_00006352-RA		
OG0011944	ACEP_00006354-RA		
OG0011945	ACEP_00006345-RA		
OG0011946	ACEP_00006342-RA		
OG0011947	ACEP_00006318-RA		
OG0011948	ACEP_00006325-RA		
OG0011949	ACEP_00006315-RA		
OG0011950	ACEP_00006310-RA		
OG0011951	ACEP_00006312-RA		
OG0011952	ACEP_00006311-RA		
OG0011953	ACEP_00006308-RA		
OG0011954	ACEP_00006304-RA		
OG0011955	ACEP_00017240-RA		
OG0011956	ACEP_00006286-RA		
OG0011957	ACEP_00017241-RA		
OG0011958	ACEP_00006292-RA		
OG0011959	ACEP_00006277-RA		
OG0011960	ACEP_00006270-RA		
OG0011961	ACEP_00006273-RA		
OG0011962	ACEP_00017242-RA		
OG0011963	ACEP_04565246-RA		
OG0011964	ACEP_00017243-RA		
OG0011965	ACEP_00006259-RA		
OG0011966	ACEP_00006254-RA		
OG0011967	ACEP_00017245-RA		
OG0011968	ACEP_00017244-RA		
OG0011969	ACEP_00006248-RA		
OG0011970	ACEP_00017247-RA		
OG0011971	ACEP_00017246-RA		
OG0011972	ACEP_00006225-RA		
OG0011973	ACEP_00017249-RA		
OG0011974	ACEP_00017250-RA		
OG0011975	ACEP_00006214-RA		
OG0011976	ACEP_00006183-RA		
OG0011977	ACEP_00017253-RA		
OG0011978	ACEP_00006170-RA		
OG0011979	ACEP_00006165-RA		
OG0011980	ACEP_00006164-RA		
OG0011981	ACEP_00006161-RA		
OG0011982	ACEP_00017254-RA		
OG0011983	ACEP_00006158-RA		
OG0011984	ACEP_00006157-RA		
OG0011985	ACEP_00006150-RA		
OG0011986	ACEP_00006154-RA		
OG0011987	ACEP_00006148-RA		
OG0011988	ACEP_00006142-RA		
OG0011989	ACEP_00006137-RA		
OG0011990	ACEP_00006125-RA		
OG0011991	ACEP_00006132-RA		
OG0011992	ACEP_00006133-RA		
OG0011993	ACEP_00006129-RA		
OG0011994	ACEP_00006110-RA		
OG0011995	ACEP_00006083-RA		
OG0011996	ACEP_00006082-RA		
OG0011997	ACEP_00006081-RA		
OG0011998	ACEP_00006086-RA		
OG0011999	ACEP_00006091-RA		
OG0012000	ACEP_00006074-RA		
OG0012001	ACEP_00017258-RA		
OG0012002	ACEP_00006066-RA		
OG0012003	ACEP_00006072-RA		
OG0012004	ACEP_00006065-RA		
OG0012005	ACEP_00006055-RA		
OG0012006	ACEP_00006040-RA		
OG0012007	ACEP_00006033-RA		
OG0012008	ACEP_00006015-RA		
OG0012009	ACEP_00006017-RA		
OG0012010	ACEP_00006007-RA		
OG0012011	ACEP_00017259-RA		
OG0012012	ACEP_00006008-RA		
OG0012013	ACEP_00006006-RA		
OG0012014	ACEP_00006012-RA		
OG0012015	ACEP_00005987-RA		
OG0012016	ACEP_00005986-RA		
OG0012017	ACEP_00005989-RA		
OG0012018	ACEP_00005998-RA		
OG0012019	ACEP_00017260-RA		
OG0012020	ACEP_00005977-RA		
OG0012021	ACEP_00005969-RA		
OG0012022	ACEP_00005964-RA		
OG0012023	ACEP_00005972-RA		
OG0012024	ACEP_00005975-RA		
OG0012025	ACEP_00014028-RA		
OG0012026	ACEP_00014026-RA		
OG0012027	ACEP_00014005-RA		
OG0012028	ACEP_00013999-RA		
OG0012029	ACEP_00014007-RA		
OG0012030	ACEP_00013988-RA		
OG0012031	ACEP_00013989-RA		
OG0012032	ACEP_00013993-RA		
OG0012033	ACEP_00017882-RA		
OG0012034	ACEP_00013975-RA		
OG0012035	ACEP_00013973-RA		
OG0012036	ACEP_00013972-RA		
OG0012037	ACEP_00017883-RA		
OG0012038	ACEP_00013963-RA		
OG0012039	ACEP_00013965-RA		
OG0012040	ACEP_00013964-RA		
OG0012041	ACEP_00013952-RA		
