Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	0.6666666666666666	Non-Terminal	acep_annotation_ACEP_00000986-RA, acep_annotation_ACEP_00001745-RA, lhum_annotation_LHUM_15173-RA	acep_annotation_ACEP_00014878-RA, lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA, lhum_annotation_LHUM_14410-RA, lhum_annotation_LHUM_14914-RA, lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA, lhum_annotation_LHUM_12442-RA, lhum_annotation_LHUM_10238-RA, lhum_annotation_LHUM_13199-RA, lhum_annotation_LHUM_14437-RA, lhum_annotation_LHUM_15099-RA, lhum_annotation_LHUM_13319-RA, lhum_annotation_LHUM_14407-RA, lhum_annotation_LHUM_10658-RA, lhum_annotation_LHUM_18424-RA, lhum_annotation_LHUM_13318-RA, acep_annotation_ACEP_00005936-RA, lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA, acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	acep_annotation	n2	1.0	Terminal	acep_annotation_ACEP_00000986-RA	acep_annotation_ACEP_00001745-RA
OG0000000	N0	n3	0.3333333333333333	Non-Terminal	acep_annotation_ACEP_00014878-RA	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA, lhum_annotation_LHUM_14410-RA, lhum_annotation_LHUM_14914-RA, lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA, lhum_annotation_LHUM_12442-RA, lhum_annotation_LHUM_10238-RA, lhum_annotation_LHUM_13199-RA, lhum_annotation_LHUM_14437-RA, lhum_annotation_LHUM_15099-RA, lhum_annotation_LHUM_13319-RA, lhum_annotation_LHUM_14407-RA, lhum_annotation_LHUM_10658-RA, lhum_annotation_LHUM_18424-RA, lhum_annotation_LHUM_13318-RA, acep_annotation_ACEP_00005936-RA, lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA, acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	N0	n4	0.3333333333333333	Non-Terminal	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA, lhum_annotation_LHUM_14410-RA, lhum_annotation_LHUM_14914-RA, lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA, lhum_annotation_LHUM_12442-RA, lhum_annotation_LHUM_10238-RA, lhum_annotation_LHUM_13199-RA	lhum_annotation_LHUM_14437-RA, lhum_annotation_LHUM_15099-RA, lhum_annotation_LHUM_13319-RA, lhum_annotation_LHUM_14407-RA, lhum_annotation_LHUM_10658-RA, lhum_annotation_LHUM_18424-RA, lhum_annotation_LHUM_13318-RA, acep_annotation_ACEP_00005936-RA, lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA, acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	lhum_annotation	n5	1.0	Terminal	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA, lhum_annotation_LHUM_14410-RA, lhum_annotation_LHUM_14914-RA, lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA, lhum_annotation_LHUM_12442-RA, lhum_annotation_LHUM_10238-RA	lhum_annotation_LHUM_13199-RA
OG0000000	lhum_annotation	n6	1.0	Terminal	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA, lhum_annotation_LHUM_14410-RA, lhum_annotation_LHUM_14914-RA, lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA	lhum_annotation_LHUM_12442-RA, lhum_annotation_LHUM_10238-RA
OG0000000	lhum_annotation	n7	1.0	Terminal	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA, lhum_annotation_LHUM_14410-RA	lhum_annotation_LHUM_14914-RA, lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA
OG0000000	lhum_annotation	n8	1.0	Terminal	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA, lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA	lhum_annotation_LHUM_14410-RA
OG0000000	lhum_annotation	n9	1.0	Terminal	lhum_annotation_LHUM_11526-RA, lhum_annotation_LHUM_10714-RA	lhum_annotation_LHUM_10486-RA, lhum_annotation_LHUM_21825-RA
OG0000000	lhum_annotation	n10	1.0	Terminal	lhum_annotation_LHUM_11526-RA	lhum_annotation_LHUM_10714-RA
