Orthogroup	pbar_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins
OG0000000	PBAR_PB17840-RA	LHUM_LH25204-RA
OG0000000	PBAR_PB14709-RA	LHUM_LH10474-RA, LHUM_LH10439-RA, LHUM_LH18453-RA, LHUM_LH10338-RA, LHUM_LH10605-RA, LHUM_LH18424-RA, LHUM_LH13318-RA, LHUM_LH15099-RA, LHUM_LH14437-RA, LHUM_LH13319-RA, LHUM_LH14407-RA, LHUM_LH11526-RA, LHUM_LH10714-RA, LHUM_LH10486-RA, LHUM_LH21825-RA, LHUM_LH14410-RA, LHUM_LH14914-RA, LHUM_LH14703-RA, LHUM_LH12805-RA, LHUM_LH12442-RA, LHUM_LH10238-RA, LHUM_LH13199-RA, LHUM_LH15173-RA, LHUM_LH10658-RA, LHUM_LH14408-RA, LHUM_LH25203-RA, LHUM_LH10006-RA, LHUM_LH15172-RA, LHUM_LH15082-RA, LHUM_LH15098-RA, LHUM_LH13209-RA, LHUM_LH23017-RA, LHUM_LH15051-RA, LHUM_LH14481-RA, LHUM_LH24890-RA, LHUM_LH15620-RA, LHUM_LH14421-RA, LHUM_LH11515-RA, LHUM_LH14791-RA, LHUM_LH19134-RA, LHUM_LH10289-RA, LHUM_LH12441-RA, LHUM_LH15895-RA, LHUM_LH12748-RA, LHUM_LH11597-RA, LHUM_LH12949-RA, LHUM_LH12566-RA, LHUM_LH11630-RA, LHUM_LH11239-RA, LHUM_LH13234-RA, LHUM_LH12474-RA, LHUM_LH22550-RA, LHUM_LH11842-RA, LHUM_LH15678-RA, LHUM_LH19942-RA, LHUM_LH17699-RA, LHUM_LH19127-RA, LHUM_LH16339-RA, LHUM_LH10004-RA, LHUM_LH10224-RA
OG0000002	PBAR_PB11397-RA	LHUM_LH11567-RA
OG0000002	PBAR_PB11394-RA	LHUM_LH11537-RA, LHUM_LH10530-RA, LHUM_LH10322-RA, LHUM_LH11347-RA, LHUM_LH10598-RA, LHUM_LH13468-RA, LHUM_LH10145-RA, LHUM_LH14680-RA, LHUM_LH10293-RA, LHUM_LH13951-RA, LHUM_LH15689-RA, LHUM_LH10421-RA, LHUM_LH19321-RA, LHUM_LH16344-RA, LHUM_LH15792-RA, LHUM_LH10507-RA, LHUM_LH14808-RA, LHUM_LH14696-RA, LHUM_LH14681-RA, LHUM_LH22546-RA, LHUM_LH25263-RA, LHUM_LH10594-RA, LHUM_LH13943-RA, LHUM_LH10472-RA, LHUM_LH10755-RA, LHUM_LH10325-RA, LHUM_LH10520-RA, LHUM_LH14804-RA, LHUM_LH13437-RA, LHUM_LH15679-RA, LHUM_LH19897-RA, LHUM_LH23832-RA, LHUM_LH11610-RA, LHUM_LH11808-RA, LHUM_LH13939-RA, LHUM_LH13936-RA, LHUM_LH14788-RA, LHUM_LH13907-RA, LHUM_LH19990-RA, LHUM_LH10283-RA, LHUM_LH10285-RA, LHUM_LH13884-RA, LHUM_LH19137-RA, LHUM_LH13912-RA, LHUM_LH24069-RA, LHUM_LH13954-RA, LHUM_LH10425-RA, LHUM_LH10291-RA
OG0000003	PBAR_PB15144-RA	LHUM_LH23989-RA, LHUM_LH10279-RA, LHUM_LH14434-RA
OG0000003	PBAR_PB15143-RA	LHUM_LH14432-RA, LHUM_LH25271-RA, LHUM_LH11885-RA, LHUM_LH10716-RA, LHUM_LH14485-RA, LHUM_LH10664-RA
OG0000003	PBAR_PB10474-RA	LHUM_LH18626-RA, LHUM_LH15994-RA, LHUM_LH10590-RA, LHUM_LH18625-RA, LHUM_LH15096-RA, LHUM_LH14405-RA, LHUM_LH10033-RA, LHUM_LH20970-RA, LHUM_LH10667-RA, LHUM_LH15375-RA, LHUM_LH11525-RA, LHUM_LH10012-RA, LHUM_LH13367-RA, LHUM_LH12282-RA, LHUM_LH10084-RA, LHUM_LH15677-RA, LHUM_LH10171-RA, LHUM_LH13313-RA, LHUM_LH23988-RA
OG0000003	PBAR_PB14727-RA	LHUM_LH20684-RA
OG0000003	PBAR_PB14566-RA	LHUM_LH12618-RA
OG0000003	PBAR_PB13224-RA	LHUM_LH12742-RA
