Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000000	ACEP_ACEP_00000986-RA, ACEP_ACEP_00001745-RA, ACEP_ACEP_00005936-RA, ACEP_ACEP_00013267-RA, ACEP_ACEP_00014461-RA, ACEP_ACEP_00014878-RA	LHUM_LH10004-RA, LHUM_LH10006-RA, LHUM_LH10224-RA, LHUM_LH10238-RA, LHUM_LH10289-RA, LHUM_LH10338-RA, LHUM_LH10439-RA, LHUM_LH10474-RA, LHUM_LH10486-RA, LHUM_LH10605-RA, LHUM_LH10658-RA, LHUM_LH10714-RA, LHUM_LH11239-RA, LHUM_LH11515-RA, LHUM_LH11526-RA, LHUM_LH11597-RA, LHUM_LH11630-RA, LHUM_LH11842-RA, LHUM_LH12441-RA, LHUM_LH12442-RA, LHUM_LH12474-RA, LHUM_LH12566-RA, LHUM_LH12748-RA, LHUM_LH12805-RA, LHUM_LH12949-RA, LHUM_LH13199-RA, LHUM_LH13209-RA, LHUM_LH13234-RA, LHUM_LH13318-RA, LHUM_LH13319-RA, LHUM_LH14407-RA, LHUM_LH14408-RA, LHUM_LH14410-RA, LHUM_LH14421-RA, LHUM_LH14437-RA, LHUM_LH14481-RA, LHUM_LH14703-RA, LHUM_LH14791-RA, LHUM_LH14914-RA, LHUM_LH15051-RA, LHUM_LH15082-RA, LHUM_LH15098-RA, LHUM_LH15099-RA, LHUM_LH15172-RA, LHUM_LH15173-RA, LHUM_LH15620-RA, LHUM_LH15678-RA, LHUM_LH15895-RA, LHUM_LH16339-RA, LHUM_LH17699-RA, LHUM_LH18424-RA, LHUM_LH18453-RA, LHUM_LH19127-RA, LHUM_LH19134-RA, LHUM_LH19942-RA, LHUM_LH21825-RA, LHUM_LH22550-RA, LHUM_LH23017-RA, LHUM_LH24890-RA, LHUM_LH25203-RA, LHUM_LH25204-RA	PBAR_PB14709-RA, PBAR_PB17840-RA
OG0000001	ACEP_ACEP_00010080-RA, ACEP_ACEP_00010461-RA	LHUM_LH10010-RA, LHUM_LH10014-RA, LHUM_LH10228-RA, LHUM_LH10366-RA, LHUM_LH10372-RA, LHUM_LH10733-RA, LHUM_LH11350-RA, LHUM_LH11355-RA, LHUM_LH11577-RA, LHUM_LH11624-RA, LHUM_LH11813-RA, LHUM_LH12605-RA, LHUM_LH13239-RA, LHUM_LH13353-RA, LHUM_LH13354-RA, LHUM_LH13928-RA, LHUM_LH13930-RA, LHUM_LH14435-RA, LHUM_LH14477-RA, LHUM_LH14799-RA, LHUM_LH14801-RA, LHUM_LH14978-RA, LHUM_LH15120-RA, LHUM_LH15170-RA, LHUM_LH15174-RA, LHUM_LH15433-RA, LHUM_LH15435-RA, LHUM_LH17149-RA, LHUM_LH17152-RA, LHUM_LH17572-RA, LHUM_LH17574-RA, LHUM_LH18693-RA, LHUM_LH19139-RA, LHUM_LH19141-RA, LHUM_LH19312-RA, LHUM_LH19313-RA, LHUM_LH19918-RA, LHUM_LH20806-RA, LHUM_LH20807-RA, LHUM_LH23232-RA, LHUM_LH23233-RA, LHUM_LH23653-RA, LHUM_LH23900-RA, LHUM_LH23902-RA, LHUM_LH23981-RA, LHUM_LH23983-RA, LHUM_LH24070-RA, LHUM_LH25185-RA, LHUM_LH25185-RB, LHUM_LH25205-RA, LHUM_LH25208-RA, LHUM_LH25209-RA, LHUM_LH25210-RA, LHUM_LH25212-RA, LHUM_LH25217-RA, LHUM_LH25218-RA, LHUM_LH25225-RA, LHUM_LH25236-RA, LHUM_LH25259-RA, LHUM_LH25260-RA	
OG0000002		LHUM_LH10145-RA, LHUM_LH10283-RA, LHUM_LH10285-RA, LHUM_LH10291-RA, LHUM_LH10293-RA, LHUM_LH10322-RA, LHUM_LH10325-RA, LHUM_LH10421-RA, LHUM_LH10425-RA, LHUM_LH10472-RA, LHUM_LH10507-RA, LHUM_LH10520-RA, LHUM_LH10530-RA, LHUM_LH10594-RA, LHUM_LH10598-RA, LHUM_LH10755-RA, LHUM_LH11347-RA, LHUM_LH11537-RA, LHUM_LH11567-RA, LHUM_LH11610-RA, LHUM_LH11808-RA, LHUM_LH13437-RA, LHUM_LH13468-RA, LHUM_LH13884-RA, LHUM_LH13907-RA, LHUM_LH13912-RA, LHUM_LH13936-RA, LHUM_LH13939-RA, LHUM_LH13943-RA, LHUM_LH13951-RA, LHUM_LH13954-RA, LHUM_LH14680-RA, LHUM_LH14681-RA, LHUM_LH14696-RA, LHUM_LH14788-RA, LHUM_LH14804-RA, LHUM_LH14808-RA, LHUM_LH15679-RA, LHUM_LH15689-RA, LHUM_LH15792-RA, LHUM_LH16344-RA, LHUM_LH19137-RA, LHUM_LH19321-RA, LHUM_LH19897-RA, LHUM_LH19990-RA, LHUM_LH22546-RA, LHUM_LH23832-RA, LHUM_LH24069-RA, LHUM_LH25263-RA	PBAR_PB11394-RA, PBAR_PB11397-RA
OG0000003	ACEP_ACEP_00010077-RA, ACEP_ACEP_00011661-RA, ACEP_ACEP_00011763-RA, ACEP_ACEP_00011820-RA, ACEP_ACEP_00011821-RA, ACEP_ACEP_00015355-RA, ACEP_ACEP_00016469-RA	LHUM_LH10012-RA, LHUM_LH10033-RA, LHUM_LH10084-RA, LHUM_LH10171-RA, LHUM_LH10279-RA, LHUM_LH10590-RA, LHUM_LH10664-RA, LHUM_LH10667-RA, LHUM_LH10716-RA, LHUM_LH11525-RA, LHUM_LH11606-RA, LHUM_LH11885-RA, LHUM_LH12282-RA, LHUM_LH12618-RA, LHUM_LH12742-RA, LHUM_LH13313-RA, LHUM_LH13367-RA, LHUM_LH14405-RA, LHUM_LH14432-RA, LHUM_LH14434-RA, LHUM_LH14485-RA, LHUM_LH15096-RA, LHUM_LH15375-RA, LHUM_LH15677-RA, LHUM_LH15994-RA, LHUM_LH18625-RA, LHUM_LH18626-RA, LHUM_LH20684-RA, LHUM_LH20970-RA, LHUM_LH23988-RA, LHUM_LH23989-RA, LHUM_LH25271-RA	PBAR_PB10474-RA, PBAR_PB13224-RA, PBAR_PB14566-RA, PBAR_PB14727-RA, PBAR_PB15143-RA, PBAR_PB15144-RA
OG0000004	ACEP_ACEP_00012041-RA	LHUM_LH10073-RA, LHUM_LH10083-RA, LHUM_LH10199-RA, LHUM_LH10214-RA, LHUM_LH10219-RA, LHUM_LH10231-RA, LHUM_LH10331-RA, LHUM_LH10460-RA, LHUM_LH10489-RA, LHUM_LH10518-RA, LHUM_LH10532-RA, LHUM_LH10642-RA, LHUM_LH10644-RA, LHUM_LH10654-RA, LHUM_LH10754-RA, LHUM_LH11549-RA, LHUM_LH11598-RA, LHUM_LH11603-RA, LHUM_LH11876-RA, LHUM_LH13358-RA, LHUM_LH13389-RA, LHUM_LH13391-RA, LHUM_LH13867-RA, LHUM_LH14429-RA, LHUM_LH14671-RA, LHUM_LH14683-RA, LHUM_LH14817-RA, LHUM_LH15069-RA, LHUM_LH15667-RA, LHUM_LH18418-RA, LHUM_LH19328-RA, LHUM_LH22695-RA, LHUM_LH22777-RA, LHUM_LH24295-RA, LHUM_LH24296-RA, LHUM_LH24308-RA, LHUM_LH24632-RA, LHUM_LH25173-RA, LHUM_LH25443-RA	PBAR_PB10451-RA, PBAR_PB16471-RA, PBAR_PB16987-RA
OG0000005	ACEP_ACEP_00003027-RA, ACEP_ACEP_00003029-RA, ACEP_ACEP_00003030-RA, ACEP_ACEP_00003036-RA, ACEP_ACEP_00003037-RA, ACEP_ACEP_00016823-RA, ACEP_ACEP_00017145-RA, ACEP_ACEP_00017146-RA, ACEP_ACEP_00017147-RA, ACEP_ACEP_00017148-RA, ACEP_ACEP_00017149-RA, ACEP_ACEP_00017150-RA, ACEP_ACEP_00017153-RA, ACEP_ACEP_00017154-RA, ACEP_ACEP_00017155-RA, ACEP_ACEP_00017156-RA, ACEP_ACEP_00017157-RA, ACEP_ACEP_00017158-RA, ACEP_ACEP_00017159-RA, ACEP_ACEP_00017160-RA, ACEP_ACEP_00017161-RA, ACEP_ACEP_00017162-RA, ACEP_ACEP_00017164-RA, ACEP_ACEP_00017165-RA, ACEP_ACEP_00017166-RA, ACEP_ACEP_00017167-RA, ACEP_ACEP_00017169-RA, ACEP_ACEP_00017170-RA, ACEP_ACEP_04565810-RA, ACEP_ACEP_04565827-RA, ACEP_ACEP_04565848-RA, ACEP_ACEP_04565945-RA, ACEP_ACEP_04565968-RA, ACEP_ACEP_04566131-RA, ACEP_ACEP_04566150-RA, ACEP_AcOr-RA	LHUM_LH22492-RA, LHUM_LH25976-RA	PBAR_PB11550-RA, PBAR_PB11556-RA
OG0000006	ACEP_ACEP_00012042-RA, ACEP_ACEP_00012657-RA	LHUM_LH10115-RA, LHUM_LH10216-RA, LHUM_LH10220-RA, LHUM_LH10232-RA, LHUM_LH10330-RA, LHUM_LH10380-RA, LHUM_LH10461-RA, LHUM_LH10475-RA, LHUM_LH10488-RA, LHUM_LH10503-RA, LHUM_LH10528-RA, LHUM_LH10655-RA, LHUM_LH10757-RA, LHUM_LH10856-RA, LHUM_LH11604-RA, LHUM_LH11873-RA, LHUM_LH11875-RA, LHUM_LH13392-RA, LHUM_LH13869-RA, LHUM_LH14670-RA, LHUM_LH14684-RA, LHUM_LH14693-RA, LHUM_LH14820-RA, LHUM_LH15068-RA, LHUM_LH15671-RA, LHUM_LH16778-RA, LHUM_LH18965-RA, LHUM_LH19340-RA, LHUM_LH19724-RA, LHUM_LH22776-RA, LHUM_LH22781-RA, LHUM_LH24063-RA, LHUM_LH24294-RA, LHUM_LH24302-RA, LHUM_LH24311-RA, LHUM_LH24627-RA, LHUM_LH24628-RA	PBAR_PB13139-RA
OG0000007		LHUM_LH19102-RA	PBAR_PB10397-RA, PBAR_PB10514-RA, PBAR_PB10746-RA, PBAR_PB10747-RA, PBAR_PB10748-RA, PBAR_PB10750-RA, PBAR_PB10906-RA, PBAR_PB11178-RA, PBAR_PB11654-RA, PBAR_PB12159-RA, PBAR_PB12240-RA, PBAR_PB12242-RA, PBAR_PB12801-RA, PBAR_PB12814-RA, PBAR_PB12815-RA, PBAR_PB13125-RA, PBAR_PB13126-RA, PBAR_PB13500-RA, PBAR_PB13501-RA, PBAR_PB13525-RA, PBAR_PB14717-RA, PBAR_PB14719-RA, PBAR_PB14720-RA, PBAR_PB14953-RA, PBAR_PB14954-RA, PBAR_PB15425-RA, PBAR_PB16468-RA, PBAR_PB16470-RA, PBAR_PB16474-RA, PBAR_PB16475-RA, PBAR_PB20747-RA, PBAR_PB21716-RA, PBAR_PB21730-RA, PBAR_PB21735-RA, PBAR_PB21737-RA, PBAR_PB21975-RA, PBAR_PB21997-RA, PBAR_PB26949-RA
OG0000008	ACEP_ACEP_00005311-RA	LHUM_LH10065-RA, LHUM_LH10147-RA, LHUM_LH10239-RA, LHUM_LH10249-RA, LHUM_LH10257-RA, LHUM_LH10355-RA, LHUM_LH10418-RA, LHUM_LH10496-RA, LHUM_LH10508-RA, LHUM_LH10707-RA, LHUM_LH10709-RA, LHUM_LH10731-RA, LHUM_LH10735-RA, LHUM_LH10843-RA, LHUM_LH11138-RA, LHUM_LH11576-RA, LHUM_LH11848-RA, LHUM_LH13364-RA, LHUM_LH13394-RA, LHUM_LH13868-RA, LHUM_LH13871-RA, LHUM_LH14375-RA, LHUM_LH14695-RA, LHUM_LH14940-RA, LHUM_LH15067-RA, LHUM_LH15171-RA, LHUM_LH15436-RA, LHUM_LH15623-RA, LHUM_LH20013-RA, LHUM_LH20605-RA, LHUM_LH22712-RA, LHUM_LH22762-RA, LHUM_LH23196-RA, LHUM_LH23744-RA, LHUM_LH23914-RA, LHUM_LH25231-RA	PBAR_PB17797-RA
OG0000009	ACEP_ACEP_00003497-RA, ACEP_ACEP_00015354-RA	LHUM_LH10039-RA, LHUM_LH10086-RA, LHUM_LH10176-RA, LHUM_LH10177-RA, LHUM_LH10286-RA, LHUM_LH10370-RA, LHUM_LH10414-RA, LHUM_LH10448-RA, LHUM_LH10742-RA, LHUM_LH11206-RA, LHUM_LH11357-RA, LHUM_LH11869-RA, LHUM_LH13184-RA, LHUM_LH13194-RA, LHUM_LH13328-RA, LHUM_LH13329-RA, LHUM_LH13402-RA, LHUM_LH13966-RA, LHUM_LH14717-RA, LHUM_LH15078-RA, LHUM_LH15097-RA, LHUM_LH15167-RA, LHUM_LH15376-RA, LHUM_LH15427-RA, LHUM_LH16497-RA, LHUM_LH16498-RA, LHUM_LH22483-RA, LHUM_LH22779-RA, LHUM_LH25196-RA, LHUM_LH25197-RA, LHUM_LH25199-RA, LHUM_LH25509-RA	PBAR_PB18641-RA, PBAR_PB23729-RA
