Orthogroup	lhum_annotation	acep_annotation
OG0000000	LHUM_15173-RA	ACEP_00000986-RA, ACEP_00001745-RA
OG0000000	LHUM_18424-RA, LHUM_13318-RA	ACEP_00005936-RA
OG0000000	LHUM_14408-RA, LHUM_25203-RA	ACEP_00013267-RA
OG0000000	LHUM_10605-RA, LHUM_18453-RA, LHUM_10338-RA, LHUM_10439-RA, LHUM_10474-RA, LHUM_25204-RA, LHUM_19134-RA, LHUM_10289-RA, LHUM_12441-RA, LHUM_15895-RA, LHUM_11597-RA, LHUM_12748-RA, LHUM_12566-RA, LHUM_12949-RA, LHUM_11630-RA, LHUM_11239-RA, LHUM_11842-RA, LHUM_15678-RA, LHUM_19942-RA, LHUM_22550-RA, LHUM_12474-RA, LHUM_13234-RA, LHUM_17699-RA, LHUM_19127-RA, LHUM_16339-RA, LHUM_10004-RA, LHUM_10224-RA, LHUM_10006-RA, LHUM_15172-RA, LHUM_11515-RA, LHUM_15082-RA, LHUM_15098-RA, LHUM_13209-RA, LHUM_14421-RA, LHUM_15620-RA, LHUM_24890-RA, LHUM_14481-RA, LHUM_15051-RA, LHUM_23017-RA, LHUM_14791-RA	ACEP_00014461-RA
OG0000001	LHUM_13354-RA, LHUM_25236-RA	ACEP_00010080-RA
OG0000001	LHUM_15170-RA, LHUM_23983-RA, LHUM_23232-RA, LHUM_23902-RA, LHUM_15174-RA, LHUM_25260-RA, LHUM_15435-RA, LHUM_25212-RA, LHUM_19312-RA, LHUM_25185-RB, LHUM_14978-RA, LHUM_14799-RA, LHUM_25185-RA, LHUM_18693-RA, LHUM_23653-RA, LHUM_11577-RA, LHUM_14435-RA, LHUM_25225-RA, LHUM_23900-RA, LHUM_23233-RA, LHUM_10228-RA, LHUM_15433-RA, LHUM_24070-RA, LHUM_23981-RA, LHUM_12605-RA, LHUM_11624-RA, LHUM_17574-RA, LHUM_17572-RA, LHUM_11813-RA, LHUM_25209-RA, LHUM_25205-RA, LHUM_25259-RA, LHUM_25208-RA, LHUM_10010-RA, LHUM_13353-RA, LHUM_14801-RA, LHUM_10366-RA, LHUM_19918-RA, LHUM_19139-RA, LHUM_11355-RA, LHUM_13928-RA, LHUM_15120-RA, LHUM_25217-RA, LHUM_25218-RA, LHUM_10372-RA, LHUM_20806-RA, LHUM_17152-RA, LHUM_17149-RA, LHUM_10014-RA, LHUM_20807-RA, LHUM_13239-RA, LHUM_14477-RA, LHUM_10733-RA, LHUM_25210-RA, LHUM_19141-RA, LHUM_11350-RA, LHUM_13930-RA, LHUM_19313-RA	ACEP_00010461-RA
OG0000003	LHUM_10279-RA, LHUM_23989-RA, LHUM_14434-RA	ACEP_00010077-RA
OG0000003	LHUM_12742-RA	ACEP_00011820-RA
OG0000003	LHUM_20684-RA	ACEP_00016469-RA
OG0000003	LHUM_10033-RA, LHUM_20970-RA, LHUM_15375-RA, LHUM_11525-RA, LHUM_10667-RA, LHUM_10012-RA, LHUM_13367-RA, LHUM_12282-RA, LHUM_10084-RA, LHUM_10171-RA, LHUM_15677-RA, LHUM_23988-RA, LHUM_13313-RA	ACEP_00015355-RA
OG0000003	LHUM_18626-RA, LHUM_15994-RA, LHUM_10590-RA, LHUM_18625-RA, LHUM_15096-RA, LHUM_14405-RA	ACEP_00011763-RA
OG0000003	LHUM_11606-RA	ACEP_00011661-RA
OG0000004	LHUM_10073-RA, LHUM_24295-RA, LHUM_24308-RA, LHUM_10083-RA, LHUM_14429-RA, LHUM_22777-RA, LHUM_14671-RA, LHUM_24296-RA, LHUM_14683-RA, LHUM_13867-RA	ACEP_00012041-RA
OG0000005	LHUM_25976-RA	ACEP_04565848-RA, ACEP_00003027-RA
OG0000005	LHUM_22492-RA	ACEP_00016823-RA, ACEP_00017159-RA, ACEP_00017158-RA, ACEP_00017155-RA, ACEP_00017156-RA, ACEP_00017153-RA, ACEP_04565945-RA, ACEP_00017154-RA, ACEP_00017157-RA, ACEP_00017145-RA, ACEP_00017146-RA, ACEP_00017148-RA, ACEP_00017147-RA, ACEP_00003036-RA, ACEP_00017150-RA, ACEP_00017149-RA, ACEP_00003037-RA, ACEP_04565968-RA, ACEP_00003029-RA, ACEP_00003030-RA, ACEP_00017164-RA, ACEP_00017161-RA, ACEP_00017162-RA, ACEP_00017160-RA, ACEP_00017169-RA, ACEP_00017170-RA, ACEP_00017167-RA, ACEP_04565810-RA, AcOr-RA, ACEP_04566131-RA, ACEP_04566150-RA, ACEP_00017165-RA, ACEP_00017166-RA
OG0000006	LHUM_14670-RA, LHUM_14693-RA, LHUM_11875-RA, LHUM_24294-RA, LHUM_10115-RA, LHUM_16778-RA, LHUM_10461-RA, LHUM_22776-RA, LHUM_13392-RA, LHUM_24063-RA, LHUM_10655-RA, LHUM_10216-RA, LHUM_10380-RA, LHUM_10503-RA, LHUM_22781-RA, LHUM_18965-RA, LHUM_10220-RA, LHUM_15671-RA, LHUM_10488-RA, LHUM_10330-RA, LHUM_11873-RA, LHUM_10528-RA, LHUM_10232-RA, LHUM_19340-RA, LHUM_24627-RA, LHUM_24628-RA, LHUM_10856-RA, LHUM_11604-RA, LHUM_15068-RA, LHUM_10757-RA, LHUM_19724-RA, LHUM_14684-RA, LHUM_13869-RA, LHUM_14820-RA, LHUM_24302-RA, LHUM_24311-RA, LHUM_10475-RA	ACEP_00012657-RA, ACEP_00012042-RA
OG0000008	LHUM_22712-RA, LHUM_20013-RA, LHUM_10707-RA, LHUM_13394-RA, LHUM_10257-RA, LHUM_13868-RA, LHUM_25231-RA, LHUM_11848-RA, LHUM_10147-RA, LHUM_10418-RA, LHUM_13364-RA, LHUM_22762-RA, LHUM_10508-RA, LHUM_20605-RA, LHUM_10843-RA, LHUM_15067-RA, LHUM_10496-RA, LHUM_10731-RA, LHUM_10065-RA, LHUM_14695-RA, LHUM_23914-RA, LHUM_11576-RA, LHUM_11138-RA, LHUM_13871-RA, LHUM_10249-RA, LHUM_14375-RA, LHUM_10239-RA, LHUM_10735-RA, LHUM_10709-RA, LHUM_23196-RA, LHUM_14940-RA, LHUM_23744-RA, LHUM_10355-RA, LHUM_15436-RA, LHUM_15623-RA, LHUM_15171-RA	ACEP_00005311-RA
OG0000009	LHUM_25509-RA, LHUM_25196-RA, LHUM_10086-RA, LHUM_15078-RA, LHUM_15427-RA, LHUM_16498-RA, LHUM_14717-RA, LHUM_13402-RA, LHUM_25197-RA, LHUM_10177-RA, LHUM_11869-RA, LHUM_10286-RA, LHUM_13194-RA, LHUM_22483-RA, LHUM_10414-RA, LHUM_10370-RA, LHUM_10742-RA	ACEP_00003497-RA
OG0000009	LHUM_15167-RA, LHUM_22779-RA, LHUM_13184-RA, LHUM_25199-RA, LHUM_10176-RA, LHUM_13329-RA	ACEP_00015354-RA
OG0000010	LHUM_25812-RA	ACEP_00004994-RA, ACEP_00004998-RA
OG0000010	LHUM_13202-RA, LHUM_11518-RA, LHUM_10028-RA, LHUM_23740-RA	ACEP_00012415-RA
