Orthogroup	acep_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000000	ACEP_ACEP_00005936-RA, ACEP_ACEP_00001745-RA, ACEP_ACEP_00000986-RA, ACEP_ACEP_00014878-RA, ACEP_ACEP_00013267-RA, ACEP_ACEP_00014461-RA	PBAR_PB14709-RA
OG0000003	ACEP_ACEP_00010077-RA	PBAR_PB15144-RA
OG0000003	ACEP_ACEP_00011763-RA, ACEP_ACEP_00015355-RA	PBAR_PB10474-RA
OG0000003	ACEP_ACEP_00016469-RA	PBAR_PB14727-RA
OG0000003	ACEP_ACEP_00011820-RA	PBAR_PB13224-RA
OG0000005	ACEP_ACEP_00017165-RA, ACEP_ACEP_00017166-RA	PBAR_PB11556-RA
OG0000005	ACEP_ACEP_00017160-RA, ACEP_ACEP_00017162-RA, ACEP_ACEP_00017161-RA, ACEP_ACEP_00017164-RA, ACEP_ACEP_00003030-RA, ACEP_ACEP_00003029-RA, ACEP_ACEP_04565968-RA, ACEP_ACEP_00017147-RA, ACEP_ACEP_00017148-RA, ACEP_ACEP_00003036-RA, ACEP_ACEP_00017150-RA, ACEP_ACEP_00003037-RA, ACEP_ACEP_00017149-RA, ACEP_ACEP_00017145-RA, ACEP_ACEP_00017146-RA, ACEP_ACEP_00016823-RA, ACEP_ACEP_04565945-RA, ACEP_ACEP_00017153-RA, ACEP_ACEP_00017156-RA, ACEP_ACEP_00017155-RA, ACEP_ACEP_00017158-RA, ACEP_ACEP_00017159-RA, ACEP_ACEP_00017154-RA, ACEP_ACEP_00017157-RA, ACEP_ACEP_04565827-RA, ACEP_ACEP_04565848-RA, ACEP_ACEP_00003027-RA	PBAR_PB11550-RA
OG0000006	ACEP_ACEP_00012657-RA, ACEP_ACEP_00012042-RA	PBAR_PB13139-RA
OG0000008	ACEP_ACEP_00005311-RA	PBAR_PB17797-RA
OG0000009	ACEP_ACEP_00003497-RA	PBAR_PB23729-RA
OG0000009	ACEP_ACEP_00015354-RA	PBAR_PB18641-RA
OG0000010	ACEP_ACEP_00004998-RA, ACEP_ACEP_00004994-RA	PBAR_PB13497-RA
OG0000010	ACEP_ACEP_00012415-RA, ACEP_ACEP_00014249-RA, ACEP_ACEP_00003421-RA	PBAR_PB18386-RA
OG0000011	ACEP_ACEP_00009733-RA, ACEP_ACEP_00009311-RA	PBAR_PB17807-RA
OG0000013	ACEP_ACEP_00005884-RA	PBAR_PB11307-RA, PBAR_PB17804-RA, PBAR_PB15153-RA
OG0000013	ACEP_ACEP_00003519-RA	PBAR_PB11591-RA, PBAR_PB11038-RA, PBAR_PB14950-RA, PBAR_PB10118-RA, PBAR_PB14814-RA, PBAR_PB18202-RA, PBAR_PB11602-RA, PBAR_PB14343-RA, PBAR_PB25124-RA, PBAR_PB11365-RA, PBAR_PB18204-RA
OG0000013	ACEP_ACEP_00005028-RA, ACEP_ACEP_00005882-RA	PBAR_PB18652-RA, PBAR_PB21986-RA, PBAR_PB14813-RA, PBAR_PB10615-RA, PBAR_PB11298-RA
OG0000013	ACEP_ACEP_00013392-RA	PBAR_PB14822-RA
OG0000014	ACEP_ACEP_00016463-RA	PBAR_PB14385-RA, PBAR_PB14386-RA
OG0000014	ACEP_ACEP_00018178-RA, ACEP_ACEP_00017904-RA	PBAR_PB10063-RA
OG0000014	ACEP_ACEP_00017295-RA	PBAR_PB22464-RA, PBAR_PB20379-RA, PBAR_PB16261-RA, PBAR_PB20107-RA, PBAR_PB18066-RA, PBAR_PB10536-RA, PBAR_PB10596-RA, PBAR_PB10540-RA, PBAR_PB18062-RA, PBAR_PB20378-RA, PBAR_PB14201-RA
OG0000014	ACEP_ACEP_00004293-RA	PBAR_PB13105-RA
OG0000014	ACEP_ACEP_00004297-RA	PBAR_PB18063-RA
OG0000017	ACEP_ACEP_00007768-RA	PBAR_PB10081-RA
OG0000017	ACEP_ACEP_00012481-RA, ACEP_ACEP_00007753-RA, ACEP_ACEP_00003080-RB, ACEP_ACEP_00007774-RA, ACEP_ACEP_00010760-RA, ACEP_ACEP_00003080-RA, ACEP_ACEP_00001102-RA, ACEP_ACEP_00008120-RA, ACEP_ACEP_00007754-RA, ACEP_ACEP_00010761-RA, ACEP_ACEP_00010763-RA, ACEP_ACEP_00007755-RA, ACEP_ACEP_00003079-RA, ACEP_ACEP_00007769-RA	PBAR_PB10600-RA
OG0000017	ACEP_ACEP_00004499-RA, ACEP_ACEP_00017276-RA, ACEP_ACEP_00004448-RA, ACEP_ACEP_00017271-RA, ACEP_ACEP_00004449-RA, ACEP_ACEP_00004450-RA, ACEP_ACEP_00007857-RA, ACEP_ACEP_00010762-RA	PBAR_PB10080-RA
OG0000019	ACEP_ACEP_00002730-RA	PBAR_PB11160-RA
OG0000019	ACEP_ACEP_00018129-RA	PBAR_PB26535-RA, PBAR_PB15372-RA, PBAR_PB15368-RA, PBAR_PB18595-RA, PBAR_PB15371-RA, PBAR_PB15365-RA, PBAR_PB23061-RA, PBAR_PB15369-RA, PBAR_PB18574-RA, PBAR_PB13412-RA, PBAR_PB13414-RA
OG0000019	ACEP_ACEP_00014796-RA	PBAR_PB23596-RA, PBAR_PB23595-RA, PBAR_PB26417-RA, PBAR_PB13413-RA, PBAR_PB13411-RA, PBAR_PB13410-RA
OG0000021	ACEP_ACEP_00001864-RA, ACEP_ACEP_00002022-RA	PBAR_PB14321-RA
OG0000021	ACEP_ACEP_00002493-RA	PBAR_PB16983-RA
OG0000021	ACEP_ACEP_00001863-RA	PBAR_PB25919-RA
OG0000021	ACEP_ACEP_00002023-RA	PBAR_PB25918-RA
OG0000022	ACEP_ACEP_00010322-RA	PBAR_PB21817-RA
OG0000022	ACEP_ACEP_00018172-RA, ACEP_ACEP_00017875-RA	PBAR_PB26159-RA, PBAR_PB10304-RA, PBAR_PB26160-RA
OG0000022	ACEP_ACEP_00015834-RA, ACEP_ACEP_00015835-RA	PBAR_PB26161-RA
OG0000022	ACEP_ACEP_00010320-RA	PBAR_PB21816-RA, PBAR_PB21834-RA
OG0000022	ACEP_ACEP_00004135-RA	PBAR_PB19745-RA
OG0000023	ACEP_ACEP_00003721-RA	PBAR_PB18719-RA
OG0000024	ACEP_ACEP_00002550-RA	PBAR_PB18065-RA
OG0000024	ACEP_ACEP_00002382-RA, ACEP_ACEP_00002381-RA	PBAR_PB19339-RA
OG0000025	ACEP_ACEP_00001487-RA	PBAR_PB16491-RA
OG0000025	ACEP_ACEP_00009610-RA	PBAR_PB11210-RA, PBAR_PB16489-RA, PBAR_PB16490-RA, PBAR_PB16089-RA
OG0000026	ACEP_ACEP_00002717-RA	PBAR_PB14299-RA
OG0000026	ACEP_ACEP_00017189-RA, ACEP_ACEP_00017190-RA, ACEP_ACEP_00002713-RA, ACEP_ACEP_00002711-RA, ACEP_ACEP_00015665-RA, ACEP_ACEP_00015666-RA, ACEP_ACEP_00015655-RA, ACEP_ACEP_00015654-RA, ACEP_ACEP_00015667-RA, ACEP_ACEP_00015664-RA, ACEP_ACEP_00015662-RA, ACEP_ACEP_00015663-RA, ACEP_ACEP_00015659-RA, ACEP_ACEP_00015658-RA, ACEP_ACEP_00015657-RA, ACEP_ACEP_00015656-RA, ACEP_ACEP_00015661-RA, ACEP_ACEP_00015660-RA, ACEP_ACEP_00015668-RA, ACEP_ACEP_00017188-RA, ACEP_ACEP_00002715-RA	PBAR_PB14301-RA
OG0000028	ACEP_ACEP_00009725-RA	PBAR_PB11430-RA, PBAR_PB15495-RA
OG0000028	ACEP_ACEP_00005915-RA	PBAR_PB20453-RA
OG0000028	ACEP_ACEP_00008106-RA	PBAR_PB20452-RA
OG0000029	ACEP_ACEP_00015406-RA	PBAR_PB25650-RB, PBAR_PB25650-RA
