Orthogroup	pbar_annotation	acep_annotation
OG0000000	PBAR_17840-RA, PBAR_14709-RA	ACEP_00014461-RA
OG0000003	PBAR_15144-RA	ACEP_00010077-RA
OG0000003	PBAR_13224-RA	ACEP_00011820-RA
OG0000003	PBAR_14727-RA	ACEP_00016469-RA
OG0000003	PBAR_10474-RA	ACEP_00015355-RA, ACEP_00011763-RA
OG0000005	PBAR_11550-RA	ACEP_04565848-RA, ACEP_00003027-RA
OG0000005	PBAR_11556-RA	ACEP_00016823-RA, ACEP_00017159-RA, ACEP_00017158-RA, ACEP_00017155-RA, ACEP_00017156-RA, ACEP_00017153-RA, ACEP_04565945-RA, ACEP_00017154-RA, ACEP_00017157-RA, ACEP_00017145-RA, ACEP_00017146-RA, ACEP_00017148-RA, ACEP_00017147-RA, ACEP_00003036-RA, ACEP_00017150-RA, ACEP_00017149-RA, ACEP_00003037-RA, ACEP_04565968-RA, ACEP_00003029-RA, ACEP_00003030-RA, ACEP_00017164-RA, ACEP_00017161-RA, ACEP_00017162-RA, ACEP_00017160-RA, ACEP_00017169-RA, ACEP_00017170-RA, ACEP_00017167-RA, ACEP_04565810-RA, AcOr-RA, ACEP_04566131-RA, ACEP_04566150-RA, ACEP_00017165-RA, ACEP_00017166-RA
OG0000006	PBAR_13139-RA	ACEP_00012657-RA, ACEP_00012042-RA
OG0000008	PBAR_17797-RA	ACEP_00005311-RA
OG0000009	PBAR_23729-RA	ACEP_00003497-RA
OG0000009	PBAR_18641-RA	ACEP_00015354-RA
OG0000010	PBAR_13497-RA	ACEP_00004994-RA, ACEP_00004998-RA
OG0000010	PBAR_18386-RA	ACEP_00012415-RA, ACEP_00014249-RA, ACEP_00003421-RA
OG0000011	PBAR_17807-RA	ACEP_00009733-RA, ACEP_00009311-RA
OG0000013	PBAR_21986-RA, PBAR_14813-RA, PBAR_18652-RA, PBAR_11298-RA, PBAR_10615-RA	ACEP_00005882-RA, ACEP_00005028-RA
OG0000013	PBAR_11307-RA, PBAR_17804-RA, PBAR_15153-RA	ACEP_00005884-RA
OG0000013	PBAR_10118-RA, PBAR_14814-RA, PBAR_11038-RA, PBAR_11591-RA, PBAR_14950-RA, PBAR_18202-RA, PBAR_11602-RA, PBAR_25124-RA, PBAR_14343-RA, PBAR_11365-RA, PBAR_18204-RA	ACEP_00003519-RA
OG0000013	PBAR_14822-RA	ACEP_00013392-RA
OG0000014	PBAR_14386-RA, PBAR_14385-RA	ACEP_00016463-RA
