Orthogroup	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000000	LHUM_LH25204-RA	PBAR_PB17840-RA
OG0000000	LHUM_LH10474-RA, LHUM_LH10439-RA, LHUM_LH18453-RA, LHUM_LH10338-RA, LHUM_LH10605-RA, LHUM_LH18424-RA, LHUM_LH13318-RA, LHUM_LH15099-RA, LHUM_LH14437-RA, LHUM_LH13319-RA, LHUM_LH14407-RA, LHUM_LH11526-RA, LHUM_LH10714-RA, LHUM_LH10486-RA, LHUM_LH21825-RA, LHUM_LH14410-RA, LHUM_LH14914-RA, LHUM_LH14703-RA, LHUM_LH12805-RA, LHUM_LH12442-RA, LHUM_LH10238-RA, LHUM_LH13199-RA, LHUM_LH15173-RA, LHUM_LH10658-RA, LHUM_LH14408-RA, LHUM_LH25203-RA, LHUM_LH10006-RA, LHUM_LH15172-RA, LHUM_LH15082-RA, LHUM_LH15098-RA, LHUM_LH13209-RA, LHUM_LH23017-RA, LHUM_LH15051-RA, LHUM_LH14481-RA, LHUM_LH24890-RA, LHUM_LH15620-RA, LHUM_LH14421-RA, LHUM_LH11515-RA, LHUM_LH14791-RA, LHUM_LH19134-RA, LHUM_LH10289-RA, LHUM_LH12441-RA, LHUM_LH15895-RA, LHUM_LH12748-RA, LHUM_LH11597-RA, LHUM_LH12949-RA, LHUM_LH12566-RA, LHUM_LH11630-RA, LHUM_LH11239-RA, LHUM_LH13234-RA, LHUM_LH12474-RA, LHUM_LH22550-RA, LHUM_LH11842-RA, LHUM_LH15678-RA, LHUM_LH19942-RA, LHUM_LH17699-RA, LHUM_LH19127-RA, LHUM_LH16339-RA, LHUM_LH10004-RA, LHUM_LH10224-RA	PBAR_PB14709-RA
OG0000002	LHUM_LH11567-RA	PBAR_PB11397-RA
OG0000002	LHUM_LH11537-RA, LHUM_LH10530-RA, LHUM_LH10322-RA, LHUM_LH11347-RA, LHUM_LH10598-RA, LHUM_LH13468-RA, LHUM_LH10145-RA, LHUM_LH14680-RA, LHUM_LH10293-RA, LHUM_LH13951-RA, LHUM_LH15689-RA, LHUM_LH10421-RA, LHUM_LH19321-RA, LHUM_LH16344-RA, LHUM_LH15792-RA, LHUM_LH10507-RA, LHUM_LH14808-RA, LHUM_LH14696-RA, LHUM_LH14681-RA, LHUM_LH22546-RA, LHUM_LH25263-RA, LHUM_LH10594-RA, LHUM_LH13943-RA, LHUM_LH10472-RA, LHUM_LH10755-RA, LHUM_LH10325-RA, LHUM_LH10520-RA, LHUM_LH14804-RA, LHUM_LH13437-RA, LHUM_LH15679-RA, LHUM_LH19897-RA, LHUM_LH23832-RA, LHUM_LH11610-RA, LHUM_LH11808-RA, LHUM_LH13939-RA, LHUM_LH13936-RA, LHUM_LH14788-RA, LHUM_LH13907-RA, LHUM_LH19990-RA, LHUM_LH10283-RA, LHUM_LH10285-RA, LHUM_LH13884-RA, LHUM_LH19137-RA, LHUM_LH13912-RA, LHUM_LH24069-RA, LHUM_LH13954-RA, LHUM_LH10425-RA, LHUM_LH10291-RA	PBAR_PB11394-RA
OG0000003	LHUM_LH23989-RA, LHUM_LH10279-RA, LHUM_LH14434-RA	PBAR_PB15144-RA
OG0000003	LHUM_LH14432-RA, LHUM_LH25271-RA, LHUM_LH11885-RA, LHUM_LH10716-RA, LHUM_LH14485-RA, LHUM_LH10664-RA	PBAR_PB15143-RA
OG0000003	LHUM_LH18626-RA, LHUM_LH15994-RA, LHUM_LH10590-RA, LHUM_LH18625-RA, LHUM_LH15096-RA, LHUM_LH14405-RA, LHUM_LH10033-RA, LHUM_LH20970-RA, LHUM_LH10667-RA, LHUM_LH15375-RA, LHUM_LH11525-RA, LHUM_LH10012-RA, LHUM_LH13367-RA, LHUM_LH12282-RA, LHUM_LH10084-RA, LHUM_LH15677-RA, LHUM_LH10171-RA, LHUM_LH13313-RA, LHUM_LH23988-RA	PBAR_PB10474-RA
OG0000003	LHUM_LH20684-RA	PBAR_PB14727-RA
OG0000003	LHUM_LH12618-RA	PBAR_PB14566-RA
OG0000003	LHUM_LH12742-RA	PBAR_PB13224-RA
OG0000004	LHUM_LH10644-RA	PBAR_PB16471-RA
OG0000004	LHUM_LH10331-RA, LHUM_LH11876-RA, LHUM_LH10489-RA, LHUM_LH15667-RA, LHUM_LH10219-RA, LHUM_LH11603-RA, LHUM_LH10199-RA, LHUM_LH19328-RA, LHUM_LH24632-RA, LHUM_LH10231-RA, LHUM_LH11549-RA, LHUM_LH10460-RA, LHUM_LH13389-RA, LHUM_LH10754-RA, LHUM_LH15069-RA, LHUM_LH10642-RA, LHUM_LH10518-RA, LHUM_LH25173-RA, LHUM_LH10654-RA, LHUM_LH11598-RA, LHUM_LH22695-RA, LHUM_LH13358-RA, LHUM_LH25443-RA, LHUM_LH18418-RA, LHUM_LH10214-RA, LHUM_LH10532-RA, LHUM_LH13391-RA	PBAR_PB16987-RA
OG0000004	LHUM_LH14817-RA	PBAR_PB10451-RA
OG0000005	LHUM_LH22492-RA	PBAR_PB11556-RA
OG0000005	LHUM_LH25976-RA	PBAR_PB11550-RA
OG0000006	LHUM_LH14670-RA, LHUM_LH14693-RA, LHUM_LH11875-RA, LHUM_LH24294-RA, LHUM_LH16778-RA, LHUM_LH10115-RA, LHUM_LH15068-RA, LHUM_LH10757-RA, LHUM_LH19724-RA, LHUM_LH10856-RA, LHUM_LH24627-RA, LHUM_LH24628-RA, LHUM_LH19340-RA, LHUM_LH10232-RA, LHUM_LH11604-RA, LHUM_LH10461-RA, LHUM_LH13392-RA, LHUM_LH22776-RA, LHUM_LH10216-RA, LHUM_LH10655-RA, LHUM_LH24063-RA, LHUM_LH22781-RA, LHUM_LH10380-RA, LHUM_LH10503-RA, LHUM_LH18965-RA, LHUM_LH10528-RA, LHUM_LH11873-RA, LHUM_LH15671-RA, LHUM_LH10488-RA, LHUM_LH10330-RA, LHUM_LH10220-RA, LHUM_LH14684-RA, LHUM_LH13869-RA, LHUM_LH14820-RA, LHUM_LH24302-RA, LHUM_LH24311-RA, LHUM_LH10475-RA	PBAR_PB13139-RA
OG0000007	LHUM_LH19102-RA	PBAR_PB14953-RA, PBAR_PB12242-RA, PBAR_PB13500-RA, PBAR_PB12815-RA, PBAR_PB15425-RA, PBAR_PB12801-RA, PBAR_PB10514-RA, PBAR_PB12814-RA, PBAR_PB12240-RA, PBAR_PB11654-RA, PBAR_PB20747-RA, PBAR_PB21716-RA, PBAR_PB21730-RA, PBAR_PB10750-RA, PBAR_PB10906-RA, PBAR_PB13501-RA, PBAR_PB26949-RA, PBAR_PB14717-RA, PBAR_PB10747-RA, PBAR_PB12159-RA, PBAR_PB16475-RA, PBAR_PB14954-RA, PBAR_PB14720-RA, PBAR_PB10748-RA, PBAR_PB21997-RA, PBAR_PB11178-RA, PBAR_PB13125-RA, PBAR_PB13525-RA, PBAR_PB10397-RA, PBAR_PB13126-RA, PBAR_PB21737-RA, PBAR_PB21975-RA, PBAR_PB16470-RA, PBAR_PB16474-RA, PBAR_PB16468-RA, PBAR_PB14719-RA, PBAR_PB10746-RA, PBAR_PB21735-RA
OG0000008	LHUM_LH10709-RA, LHUM_LH10735-RA, LHUM_LH10239-RA, LHUM_LH14375-RA, LHUM_LH10249-RA, LHUM_LH10147-RA, LHUM_LH11848-RA, LHUM_LH10418-RA, LHUM_LH10707-RA, LHUM_LH22712-RA, LHUM_LH20013-RA, LHUM_LH10257-RA, LHUM_LH13868-RA, LHUM_LH13394-RA, LHUM_LH25231-RA, LHUM_LH13364-RA, LHUM_LH22762-RA, LHUM_LH10508-RA, LHUM_LH23914-RA, LHUM_LH14695-RA, LHUM_LH15067-RA, LHUM_LH10843-RA, LHUM_LH20605-RA, LHUM_LH10731-RA, LHUM_LH10496-RA, LHUM_LH10065-RA, LHUM_LH13871-RA, LHUM_LH11138-RA, LHUM_LH11576-RA, LHUM_LH14940-RA, LHUM_LH23744-RA, LHUM_LH10355-RA, LHUM_LH15436-RA, LHUM_LH15623-RA, LHUM_LH15171-RA, LHUM_LH23196-RA	PBAR_PB17797-RA
OG0000009	LHUM_LH25509-RA, LHUM_LH25196-RA, LHUM_LH25197-RA, LHUM_LH13402-RA, LHUM_LH15427-RA, LHUM_LH14717-RA, LHUM_LH16498-RA, LHUM_LH15078-RA, LHUM_LH10086-RA, LHUM_LH10177-RA, LHUM_LH10286-RA, LHUM_LH11869-RA, LHUM_LH13194-RA, LHUM_LH22483-RA, LHUM_LH10370-RA, LHUM_LH10414-RA, LHUM_LH10742-RA	PBAR_PB23729-RA
OG0000009	LHUM_LH15167-RA, LHUM_LH22779-RA, LHUM_LH25199-RA, LHUM_LH10176-RA, LHUM_LH13184-RA, LHUM_LH13329-RA	PBAR_PB18641-RA
OG0000010	LHUM_LH25812-RA	PBAR_PB13497-RA
OG0000010	LHUM_LH25201-RA, LHUM_LH25275-RA	PBAR_PB18385-RA
OG0000010	LHUM_LH10442-RA, LHUM_LH23200-RA, LHUM_LH14397-RA, LHUM_LH22760-RA	PBAR_PB11078-RA
OG0000010	LHUM_LH23740-RA, LHUM_LH10028-RA, LHUM_LH11518-RA, LHUM_LH13202-RA, LHUM_LH12833-RA, LHUM_LH15168-RA, LHUM_LH15673-RA, LHUM_LH15074-RA, LHUM_LH19319-RA, LHUM_LH25195-RA, LHUM_LH10062-RA	PBAR_PB18386-RA
OG0000011	LHUM_LH19899-RA	PBAR_PB11305-RA
OG0000011	LHUM_LH10021-RA, LHUM_LH10125-RA, LHUM_LH14376-RA, LHUM_LH11884-RA, LHUM_LH19997-RA, LHUM_LH12750-RA, LHUM_LH19723-RA, LHUM_LH11335-RA, LHUM_LH20494-RA, LHUM_LH14439-RA, LHUM_LH11174-RA	PBAR_PB21450-RA
OG0000011	LHUM_LH11850-RA, LHUM_LH17571-RA, LHUM_LH16721-RA, LHUM_LH19727-RA, LHUM_LH23847-RA, LHUM_LH11317-RA, LHUM_LH22545-RA, LHUM_LH15100-RA, LHUM_LH15699-RA	PBAR_PB17807-RA
OG0000013	LHUM_LH10721-RA	PBAR_PB14568-RA, PBAR_PB11307-RA, PBAR_PB17804-RA, PBAR_PB15153-RA, PBAR_PB11591-RA, PBAR_PB11038-RA, PBAR_PB14950-RA, PBAR_PB10118-RA, PBAR_PB14814-RA, PBAR_PB18202-RA, PBAR_PB11602-RA, PBAR_PB14343-RA, PBAR_PB25124-RA, PBAR_PB11365-RA, PBAR_PB18204-RA, PBAR_PB18652-RA, PBAR_PB21986-RA, PBAR_PB14813-RA, PBAR_PB10615-RA, PBAR_PB11298-RA, PBAR_PB11363-RA, PBAR_PB10939-RA, PBAR_PB14822-RA
OG0000017	LHUM_LH15216-RA	PBAR_PB10081-RA, PBAR_PB10600-RA, PBAR_PB10080-RA
OG0000018	LHUM_LH23654-RA	PBAR_PB18791-RA, PBAR_PB10426-RA, PBAR_PB24729-RA, PBAR_PB19920-RA
OG0000018	LHUM_LH10169-RA	PBAR_PB14570-RA, PBAR_PB15055-RA
OG0000018	LHUM_LH11733-RA	PBAR_PB11364-RA, PBAR_PB11301-RA, PBAR_PB14723-RA, PBAR_PB15151-RA, PBAR_PB11302-RA, PBAR_PB23630-RA, PBAR_PB11486-RA, PBAR_PB10458-RA, PBAR_PB22031-RA, PBAR_PB24928-RA, PBAR_PB10541-RA, PBAR_PB15057-RA, PBAR_PB23055-RA, PBAR_PB19921-RA, PBAR_PB22352-RA, PBAR_PB12034-RA, PBAR_PB23629-RA, PBAR_PB22777-RA
OG0000019	LHUM_LH23241-RA	PBAR_PB20487-RA, PBAR_PB11160-RA, PBAR_PB26535-RA, PBAR_PB15372-RA, PBAR_PB15368-RA, PBAR_PB18595-RA, PBAR_PB15371-RA, PBAR_PB15365-RA, PBAR_PB23061-RA, PBAR_PB15369-RA, PBAR_PB18574-RA, PBAR_PB13412-RA, PBAR_PB13414-RA, PBAR_PB23596-RA, PBAR_PB23595-RA, PBAR_PB26417-RA, PBAR_PB13413-RA, PBAR_PB13411-RA, PBAR_PB13410-RA, PBAR_PB10547-RA, PBAR_PB10150-RA, PBAR_PB15373-RA
OG0000021	LHUM_LH15683-RA, LHUM_LH15684-RA, LHUM_LH13481-RA, LHUM_LH21433-RA	PBAR_PB14321-RA
OG0000021	LHUM_LH17459-RA	PBAR_PB16983-RA
OG0000021	LHUM_LH14899-RA, LHUM_LH13483-RA, LHUM_LH13484-RA, LHUM_LH24991-RA, LHUM_LH14900-RA	PBAR_PB25919-RA
OG0000021	LHUM_LH24684-RA	PBAR_PB17995-RA
OG0000021	LHUM_LH19960-RA, LHUM_LH15387-RA, LHUM_LH15385-RA, LHUM_LH17269-RA, LHUM_LH17270-RA	PBAR_PB25918-RA
OG0000022	LHUM_LH20614-RA, LHUM_LH20612-RA	PBAR_PB21817-RA
OG0000022	LHUM_LH25883-RA, LHUM_LH25885-RA	PBAR_PB26159-RA, PBAR_PB10304-RA, PBAR_PB26160-RA
OG0000022	LHUM_LH18177-RA	PBAR_PB26161-RA
OG0000022	LHUM_LH10827-RA	PBAR_PB19745-RA
OG0000023	LHUM_LH10560-RA, LHUM_LH25475-RA, LHUM_LH13383-RA, LHUM_LH26016-RA, LHUM_LH25299-RA, LHUM_LH10080-RA, LHUM_LH10559-RA, LHUM_LH10830-RA, LHUM_LH13874-RA, LHUM_LH10114-RA, LHUM_LH25441-RA, LHUM_LH12473-RA, LHUM_LH22538-RA, LHUM_LH10345-RA, LHUM_LH10511-RA, LHUM_LH14403-RA, LHUM_LH25265-RA, LHUM_LH14679-RA, LHUM_LH23888-RA, LHUM_LH14404-RA, LHUM_LH10512-RA, LHUM_LH10443-RA, LHUM_LH22764-RA, LHUM_LH15619-RA	PBAR_PB18719-RA
