Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0011883	ACEP_ACEP_00015608-RA		
OG0011884	ACEP_ACEP_00018179-RA		
OG0011885	ACEP_ACEP_00018180-RA		
OG0011886	ACEP_ACEP_00015590-RA		
OG0011887	ACEP_ACEP_00016625-RA		
OG0011888	ACEP_ACEP_00016624-RA		
OG0011889	ACEP_ACEP_00016570-RA		
OG0011890	ACEP_ACEP_00016452-RA		
OG0011891	ACEP_ACEP_00018230-RA		
OG0011892	ACEP_ACEP_00016859-RA		
OG0011893	ACEP_ACEP_00016619-RA		
OG0011894	ACEP_ACEP_00016831-RA		
OG0011895	ACEP_ACEP_00016686-RA		
OG0011896	ACEP_ACEP_00016882-RA		
OG0011897	ACEP_ACEP_00016659-RA		
OG0011898	ACEP_ACEP_00017969-RA		
OG0011899	ACEP_ACEP_00012871-RA		
OG0011900	ACEP_ACEP_00012872-RA		
OG0011901	ACEP_ACEP_00012866-RA		
OG0011902	ACEP_ACEP_00012857-RA		
OG0011903	ACEP_ACEP_00017972-RA		
OG0011904	ACEP_ACEP_00017970-RA		
OG0011905	ACEP_ACEP_00012856-RA		
OG0011906	ACEP_ACEP_00012852-RA		
OG0011907	ACEP_ACEP_00017973-RA		
OG0011908	ACEP_ACEP_00012853-RA		
OG0011909	ACEP_ACEP_00012846-RA		
OG0011910	ACEP_ACEP_00012849-RA		
OG0011911	ACEP_ACEP_00012840-RA		
OG0011912	ACEP_ACEP_00012838-RA		
OG0011913	ACEP_ACEP_00017975-RA		
OG0011914	ACEP_ACEP_00012841-RA		
OG0011915	ACEP_ACEP_00012828-RA		
OG0011916	ACEP_ACEP_00012820-RA		
OG0011917	ACEP_ACEP_00012821-RA		
OG0011918	ACEP_ACEP_00017976-RA		
OG0011919	ACEP_ACEP_00012804-RA		
OG0011920	ACEP_ACEP_00017978-RA		
OG0011921	ACEP_ACEP_00012799-RA		
OG0011922	ACEP_ACEP_00012789-RA		
OG0011923	ACEP_ACEP_00012786-RA		
OG0011924	ACEP_ACEP_00012783-RA		
OG0011925	ACEP_ACEP_00012790-RA		
OG0011926	ACEP_ACEP_00012781-RA		
OG0011927	ACEP_ACEP_00012772-RA		
OG0011928	ACEP_ACEP_00017979-RA		
OG0011929	ACEP_ACEP_00012774-RA		
OG0011930	ACEP_ACEP_00017980-RA		
OG0011931	ACEP_ACEP_00016714-RA		
OG0011932	ACEP_ACEP_00016675-RA		
OG0011933	ACEP_ACEP_00016746-RA		
OG0011934	ACEP_ACEP_00017230-RA		
OG0011935	ACEP_ACEP_00017231-RA		
OG0011936	ACEP_ACEP_00017232-RA		
OG0011937	ACEP_ACEP_00006382-RA		
OG0011938	ACEP_ACEP_00006381-RA		
OG0011939	ACEP_ACEP_00017233-RA		
OG0011940	ACEP_ACEP_00006368-RA		
OG0011941	ACEP_ACEP_00006377-RA		
OG0011942	ACEP_ACEP_00006360-RA		
OG0011943	ACEP_ACEP_00006352-RA		
OG0011944	ACEP_ACEP_00006354-RA		
OG0011945	ACEP_ACEP_00006345-RA		
OG0011946	ACEP_ACEP_00006342-RA		
OG0011947	ACEP_ACEP_00006318-RA		
OG0011948	ACEP_ACEP_00006325-RA		
OG0011949	ACEP_ACEP_00006315-RA		
OG0011950	ACEP_ACEP_00006310-RA		
OG0011951	ACEP_ACEP_00006312-RA		
OG0011952	ACEP_ACEP_00006311-RA		
OG0011953	ACEP_ACEP_00006308-RA		
OG0011954	ACEP_ACEP_00006304-RA		
OG0011955	ACEP_ACEP_00017240-RA		
OG0011956	ACEP_ACEP_00006286-RA		
OG0011957	ACEP_ACEP_00017241-RA		
